code,description,steps
00876,Муфта компрессора,"ВИД НЕИСПРАВНОСТИ: 7 - Общее короткое замыкание

ПРИЧИНА: Неисправность в системе охлаждения на стороне высокого или низкого давления, неисправный датчик максимального/минимального давления, неисправная муфта компрессора, неисправность в кабельном жгуте, неисправный прибор управления.

ПРОЯВЛЕНИЕ: Система охлаждения не работает или остается холодной.

СПОСОБ УСТРАНЕНИЯ: Проверить кабели и электрические соединители, проверить муфту компрессора, проверить прибор управления (A474), произвести замеры напряжения.

Измерение напряжения:

Ресивер-осушитель, электромагнитная муфта компрессора, прибор управления - между Pin X1/6 (+) и Pin X1/12 (-): 16 - 32 В (Uбат)

Если неисправность не обнаружена, заменить прибор управления или датчик максимального/минимального давления либо муфту компрессора."
00877,Датчик температуры испарителя,"ВИД НЕИСПРАВНОСТИ: 5- Короткое замыкание на массу

ВИД НЕИСПРАВНОСТИ: 6 - Короткое замыкание на UBat

ПРИЧИНА: Неисправный датчик температуры испарителя, неисправность в кабельном жгуте, неисправный прибор управления.

ПРОЯВЛЕНИЕ: Аварийное значение -5°С.

СПОСОБ УСТРАНЕНИЯ: Проверить кабели и электрические соединители, проверить датчик температуры испарителя, проверить прибор управления (A474), произвести замеры сопротивления.

Замеры сопротивления:

Датчик температуры испарителя в кондиционере фирмы Behr; прибор управления – между Pin X2/4 (+) и Pin X2/5 (-): ~= 10 кОм при 25°C

Если неисправность не обнаружена, заменить прибор управления или датчик температуры испарителя кондиционера фирмы Behr."
03001,Датчик температуры воздуха на внутреннем выпуске,"ВИД НЕИСПРАВНОСТИ: 5- Короткое замыкание на массу

ВИД НЕИСПРАВНОСТИ: 6 - Короткое замыкание на UBat

ПРИЧИНА: Неисправный датчик температуры на внутреннем выпуске, неисправность в кабельном жгуте, неисправный прибор управления.

ПРОЯВЛЕНИЕ: Аварийное значение 22°С.

СПОСОБ УСТРАНЕНИЯ: Проверить кабели и электрические соединители, проверить датчик температуры на внутреннем выпуске, проверить прибор управления (A474), произвести замеры сопротивления.

Замеры сопротивления:

Датчик температуры на внутреннем выпуске; прибор управления - между Pin X1/4 (+) и Pin X1/8 (-): ~= 10 кОм

Если неисправность не обнаружена, заменить прибор управления или датчик температуры на внутреннем выпуске."
03002,Датчик температуры наружного воздуха,"ВИД НЕИСПРАВНОСТИ: 5- Короткое замыкание на массу

ВИД НЕИСПРАВНОСТИ: 6 - Короткое замыкание на Uбат

ПРИЧИНА: Неисправный датчик наружной температуры, неисправность в кабельном жгуте, неисправный прибор управления.

ПРОЯВЛЕНИЕ: Аварийное значение 0°С.

СПОСОБ УСТРАНЕНИЯ: Проверить кабели и электрические соединители, проверить датчик наружной температуры, проверить прибор управления (A474), произвести замеры сопротивления.

Замеры сопротивления:

Датчик наружной температуры в кондиционере фирмы Behr; прибор управления – между Pin X2/13 (+) и Pin X2/5 (-): ~= 10 кОм при 25°C

Если неисправность не обнаружена, заменить прибор управления или датчик наружной температуры кондиционера фирмы Behr."
03003,Датчик температуры продуваемого воздуха (датчик температуры теплообменника),"ВИД НЕИСПРАВНОСТИ: 5- Короткое замыкание на массу

ВИД НЕИСПРАВНОСТИ: 6 - Короткое замыкание на Uбат

ПРИЧИНА: Неисправный датчик температуры теплообменника, неисправность в кабельном жгуте, неисправный прибор управления.

ПРОЯВЛЕНИЕ: Аварийное значение 40°С.

СПОСОБ УСТРАНЕНИЯ: Проверить кабели и электрические соединители, проверить датчик температуры испарителя, проверить прибор управления (A474), произвести замеры сопротивления.

Замеры сопротивления:

Датчик температуры теплообменника в кондиционере фирмы Behr; прибор управления – между Pin X2/10 (+) и Pin X2/5 (-): ~= 10 кОм при 25°C

Если неисправность не обнаружена, заменить прибор управления или датчик температуры теплообменника кондиционера фирмы Behr."
03004,Потенциометр двигательного привода перепускной заслонки,"ВИД НЕИСПРАВНОСТИ: 5- Короткое замыкание на массу

ВИД НЕИСПРАВНОСТИ: 6 - Короткое замыкание на Uбат

ВИД НЕИСПРАВНОСТИ: 8 - Ошибочный сигнал

ПРИЧИНА: 5 и 6 неисправность Неисправный потенциометр, неисправность в кабельном жгуте, неисправный прибор управления.

ПРОЯВЛЕНИЕ: 5 и 6 неисправность Аварийное значение в среднем положении.

ПРИЧИНА: 8 неисправность Неисправный потенциометр, заедание перепускной заслонки, неисправность в кабельном жгуте, неисправный прибор управления.

ПРОЯВЛЕНИЕ: 8 неисправность Двигатель не действует, неблагоприятное распределение температур.

СПОСОБ УСТРАНЕНИЯ: Проверить кабели и электрические соединители, проверить потенциометр обратной связи перепускной заслонки отопителя, проверить прибор управления (A474), произвести замеры напряжения.

Этапы контроля:

Замеры сопротивления:

Потенциометр обратной связи перепускной заслонки отопителя в кондиционере фирмы Behr; прибор управления – между Pin X2/7 (+) и Pin X2/5 (-): ~= 95 - 105 кОм

Измерение напряжения:

Опорное напряжение 5 В - в кондиционере фирмы Behr; прибор управления – между Pin X2/11 (+) и Pin X2/5 (-): ~= 5 В

Если неисправность не обнаружена, заменить прибор управления или потенциометр обратной связи перепускной заслонки отопителя кондиционера фирмы Behr."
03005,Вентиль отопителя,"ВИД НЕИСПРАВНОСТИ: 5- Короткое замыкание на массу

ВИД НЕИСПРАВНОСТИ: 6 - Короткое замыкание на Uбат

ПРИЧИНА: 5 и 6 неисправность Неисправный электромагнитный клапан, неисправность в кабельном жгуте, неисправный прибор управления.

ПРОЯВЛЕНИЕ: 5 неисправность Отопитель не греет или остается постоянно горячим.

ПРОЯВЛЕНИЕ: 6 неисправность Отопитель остается постоянно горячим.

СПОСОБ УСТРАНЕНИЯ: Проверить кабели и электрические соединители, проверить электромагнитный клапан переднего кондиционера EP - вентиль переднего кондиционера (Y117), проверить прибор управления (A474), произвести замеры напряжения.

Измерение напряжения:

Электромагнитный клапан переднего кондиционера EP - вентиль переднего кондиционера - требуется запуск двигателя, прибор управления - между Pin X1/10 (+) и Pin X1/3 (-): ~= 0 В - электромагнитный клапан закрыт; 16 - 32 В (Uбат) - электромагнитный клапан открыт

Если неисправность не обнаружена, заменить прибор управления или электромагнитный клапан переднего кондиционера EP - вентиль переднего кондиционера."
03006,Двигатель заслонки рециркуляции,"ВИД НЕИСПРАВНОСТИ: 7 - Общее короткое замыкание

ВИД НЕИСПРАВНОСТИ: 10 - Разрыв цепи

ПРИЧИНА: Неисправный двигатель заслонки рециркуляции, неисправность в кабельном жгуте, неисправный прибор управления.

ПРОЯВЛЕНИЕ: Заслонка рециркуляции не управляется.

СПОСОБ УСТРАНЕНИЯ: Проверить кабели и электрические соединители, проверить двигатель заслонки свежего воздуха / рециркуляции при переводе кондиционера в положение ""свежий воздух"", проверить прибор управления (A474), произвести замеры напряжения.

Измерение напряжения:

Положение двигателя заслонки свежего воздуха / рециркуляции в кондиционере фирмы Behr; прибор управления – между Pin X2/6 (+) и Pin X2/9 (-): ~= 16 - 32 В (Uбат) выключатель заслонки свежий воздух / рециркуляция включен (S123); ~= 0 В выключатель заслонки свежий воздух / рециркуляция (S123) отключен

Положение двигателя заслонки свежего воздуха / рециркуляции в кондиционере фирмы Behr; прибор управления – между Pin X2/9 (+) и Pin X2/6 (-): ~= 16 - 32 В (Uбат) выключатель заслонки свежий воздух / рециркуляция включен (S123); ~= 0 В выключатель заслонки свежий воздух / рециркуляция (S123) отключен

Если неисправность не обнаружена, заменить прибор управления или двигатель заслонки свежего воздуха / рециркуляции кондиционера фирмы Behr."
03007,Двигатель перепускной заслонки,"ВИД НЕИСПРАВНОСТИ: 7 - Общее короткое замыкание

ПРИЧИНА: Неисправный двигатель, неисправность в кабельном жгуте, неисправный прибор управления.

ПРОЯВЛЕНИЕ: Двигатель не работает, неблагоприятное распределение температур.

СПОСОБ УСТРАНЕНИЯ: Проверить кабели и электрические соединители, проверить двигатель перепускной заслонки отопителя, проверить прибор управления (A474), произвести замеры напряжения.

Измерение напряжения:

Перепускная заслонка отопителя открыта - кондиционер фирмы Behr; прибор управления – между Pin X2/12 (+) и Pin X2/15 (-): ~= 16 - 32 В (Uбат) нажатие кнопки REHEAT (удаление влаги) (S545), включение режима REHEAT; короткий сигнал; ~= -16 - 32 В (Uбат) нажатие кнопки REHEAT (удаление влаги) (S545), отключение режима REHEAT, короткий сигнал

Перепускная заслонка отопителя закрыта - кондиционер фирмы Behr; прибор управления – между Pin X2/12 (+) и Pin X2/15 (-): ~= 16 - 32 В (Uбат) нажатие кнопки REHEAT (удаление влаги) (S545), включение режима REHEAT; короткий сигнал; ~= -16 - 32 В (Uбат) нажатие кнопки REHEAT (удаление влаги) (S545), отключение режим REHEAT, короткий сигнал

Если неисправность не обнаружена, заменить прибор управления или двигатель перепускной заслонки отопителя кондиционера фирмы Behr."
03008,Напряжение в системе управления вентилятором,"ВИД НЕИСПРАВНОСТИ: 1 - Сигнал или величина слишком велики

ВИД НЕИСПРАВНОСТИ: 2 - Сигнал или величина слишком малы

ПРИЧИНА: Неисправный регулятор вентилятора, неисправность в кабельном жгуте, неисправный прибор управления.

ПРОЯВЛЕНИЕ: Вентилятор не управляется.

СПОСОБ УСТРАНЕНИЯ: Проверить кабели и электрические соединители, проверить регулятор вентилятора, проверить прибор управления (A474), произвести замеры напряжения.

Измерение напряжения:

Напряжение питания системы регулирования вентилятора, поворотный переключатель вентилятора (S547); прибор управления - между Pin X2/14(+) и X2/3 (-): ~= 0 В в положении ""OFF""; ~= 0 - 10,3 В в положении ""AUTO""; ~= 2 - 8,3 В в зоне линейного регулирования; ~= 10 В в положении ""MAX""

Напряжение питания на клемме 15 системы регулирования - кондиционер фирмы Behr; прибор управления – между Pin X2/1 (+) и Pin X2/3 (-): 16 - 32 В (Uбат)

Если неисправность не обнаружена, заменить прибор управления или поворотный переключатель вентилятора кондиционера фирмы Behr."
