code,description,steps
00070,Сигнал стояночного тормоза неисправен,"Состояние неисправности: FMI 8

Приоритет 2

Возможно, неисправность, требующая устранения в сервисном центре! Указание на неисправность

Индикация неисправности:

Центральная сигнальная лампа (H111) светится красным цветом.

Проявление неисправности:

Постоянно используется заменяющее значение (стояночный тормоз не применяется).

Причина неисправности:

Сигнал стояночного тормоза неисправен.

Устранение неисправности:

Проверьте, прилегает ли сигнал (уровень low 3 В - уровень high 12 В) стояночного тормоза к FFR (A403) на PIN X2/2, или индицируют ли также другие блоки управления неисправность стояночного тормоза. Сигнал поступает от FFR (A403) через шину T-CAN на блок управления коробкой передач (A590). Проверьте FFR на наличие индикации других неисправностей. Проверьте штепсельные соединения и провода T-CAN и при необходимости устраните неисправность.

Перечень шагов проверки:

Проверьте T-CAN (измерение сопротивления) и FFR.

Сопротивление на T-CAN должно составлять 60 Ом - неисправность отсутствует. Если сопротивление составляет примерно 0 Ом, то между CAN H и CAN L присутствует замыкание, если сопротивление составляет 120 Ом, то согласующий резистор или соединение с ним повреждено. Еще более высокое значение сопротивления указывает на поломку CAN или неисправность обоих согласующих резисторов."
00084,Скорость движения,"Состояние неисправности: FMI 8

Приоритет 5

Индикация во время движения и остановки автомобиля; только указание на неисправность.

Индикация неисправности:

Центральная сигнальная лампа (H111) светится желтым цветом.

Проявление неисправности:

Используется заменяющее значение.

Причина неисправности:

Действительная скорость системы автоматического поддержания скорости неисправна.

Устранение неисправности:

Сигнал поступает от FFR (A403) через шину T-CAN на блок управления коробкой передач (A590). Проверьте FFR на наличие индикации других неисправностей. Проверьте штепсельные соединения и провода T-CAN и при необходимости устраните неисправность.

Перечень шагов проверки:

Проверьте T-CAN (измерение сопротивления) и FFR.

Сопротивление на T-CAN должно составлять 60 Ом - неисправность отсутствует. Если сопротивление составляет примерно 0 Ом, то между CAN H и CAN L присутствует замыкание, если сопротивление составляет 120 Ом, то согласующий резистор или соединение с ним повреждено. Еще более высокое значение сопротивления указывает на поломку CAN или неисправность обоих согласующих резисторов."
00086,Скорость с системой автоматического поддержания скорости,"Состояние неисправности: FMI 8

Приоритет 5

Индикация во время движения и остановки автомобиля; только указание на неисправность

Индикация неисправности:

Центральная сигнальная лампа (H111) светится желтым цветом.

Проявление неисправности:

Постоянно используется заменяющее значение.

Причина неисправности:

Заданная скорость системы автоматического поддержания скорости неисправна.

Устранение неисправности:

Проверьте T-CAN на наличие других неисправностей, в случае наличия таковых проверьте провода или штепсельные соединения T-CAN и, при необходимости, устраните неисправность.

Перечень шагов проверки:

Проверьте T-CAN (измерение сопротивления).

Сопротивление на T-CAN должно составлять 60 Ом - неисправность отсутствует. Если сопротивление составляет примерно 0 Ом, то между CAN H и CAN L присутствует замыкание, если сопротивление составляет 120 Ом, то согласующий резистор или соединение с ним повреждено. Еще более высокое значение сопротивления указывает на поломку CAN или неисправность обоих согласующих резисторов."
00091,Сигнал угла расположения педали акселератора,"Состояние неисправности: FMI 8

Приоритет 1

В сочетании с символом STOP необходимо остановить двигатель.

Индикация неисправности:

Проявление неисправности:

Постоянно используется заменяющее значение.

Причина неисправности:

Сигнал угла расположения педали акселератора неисправен.

Устранение неисправности:

1. Проверьте состояние педали акселератора с помощью ПК (мониторинг EDC), проверьте провода педали акселератора. Если педаль акселератора неисправна, то, при необходимости, замените ее и настройте ее работу. Если педаль и провода исправны, проверьте провода от T-CAN или штепсельные контакты. Кроме того, измерьте значение сопротивления на шине T-CAN.

Перечень шагов проверки:

Проверьте состояние педали акселератора с помощью ПК (мониторинг EDC). Выполните замеры сопротивления на проводах педали акселератора.

Проверьте T-CAN.

Сопротивление на T-CAN должно составлять 60 Ом - неисправность отсутствует. Если сопротивление составляет примерно 0 Ом, то между CAN H и CAN L присутствует замыкание, если сопротивление составляет 120 Ом, то согласующий резистор или соединение с ним повреждено. Еще более высокое значение сопротивления указывает на поломку CAN или неисправность обоих согласующих резисторов."
00092,"Крутящий момент двигателя, зависимый от сигнала, по отношению к максимально доступному крутящему моменту двигателя на данный момент","Состояние неисправности: FMI 8

Приоритет 5

Индикация во время движения и остановки автомобиля; только указание на неисправность

Индикация неисправности:

Центральная сигнальная лампа (H111) светится желтым цветом.

Проявление неисправности:

Постоянно используется заменяющее значение.

Причина неисправности.

Сообщение относительного момента двигателя поступает от блока управления EDC (А435). Сигнал относительного момента двигателя в отношении к действительному макс. доступному моменту двигателя неисправен.

Устранение неисправности:

Сигнал поступает от EDC (M-CAN) через FFR (T-CAN). Необходимо проверить наличие других сообщений от блока управления EDC (A435), если они отсутствуют, то необходимо проверить связь M-CAN от EDC (A435) к FFR (A403). Связь M-CAN динамическая, поэтому проведение замеров сопротивления на ней невозможно, можно только провести проверку осциллографом.

Перечень шагов проверки:

Проверьте FFR.

Проверьте T-CAN.

Сопротивление на T-CAN должно составлять 60 Ом - неисправность отсутствует. Если сопротивление составляет примерно 0 Ом, то между CAN H и CAN L присутствует замыкание, если сопротивление составляет 120 Ом, то согласующий резистор или соединение с ним повреждено. Еще более высокое значение сопротивления указывает на поломку CAN или неисправность обоих согласующих резисторов."
00158,Напряжение питания выходит за пределы диапазона допустимых значений,"Состояние неисправности: FMI 1

Приоритет 1

В сочетании с символом STOP необходимо остановить двигатель.

Индикация неисправности:

Центральная сигнальная лампа (H111) мигает красным цветом.

Проявление неисправности:

Нет

Причина неисправности:

Напряжение питания превышает максимально допустимое значение. Во время движения автомобиля нет никаких системных ограничений, однако при наличии кода неисправности ""Зажигание включено"" блок управления продолжает работать в режиме проверки, и система недоступна.

Устранение неисправности:

Проверьте сигнал при помощи ПК, генератор, провода, штепсельные соединения, аккумуляторную батарею.

Перечень шагов проверки:

Проведение текущего контроля:

Проверьте сигналы ""Клемма 30"" и ""Клемма 15"" с помощью ПК на достоверность (двигатель запущен, заданное значение 24-28 В). Если эти значения правильные, то измерьте напряжение.

Измерение напряжения:

Замер напряжения непосредственно на выводах блоков управления X1/9, X1/12, X1/15 (+) и X1/18, X1/21 (-). Заданное значение 18-29,5 вольт. Если измеренные (на разъемах блока управления) значения находятся в номинальном диапазоне и, несмотря на это, активна неисправность, то замените FFR (A403)."
00158,Напряжение питания выходит за пределы диапазона допустимых значений,"Состояние неисправности: FMI 2

Приоритет 1

В сочетании с символом STOP необходимо остановить двигатель.

Индикация неисправности:

Центральная сигнальная лампа (H111) мигает красным цветом.

Проявление неисправности:

Нет

Причина неисправности:

Напряжение питания ниже минимально допустимого значения. При возникновении данной неисправности во время движения переключение передач блокируется, однако при наличии данной неисправности перед сигналом ""зажигание включено"" электронные элементы коробки передач отключаются или не включаются.

ВНИМАНИЕ: При напряжении в автомобиле <9 В, получение данных от электрического управления недоступно.

Устранение неисправности:

Проверьте сигнал при помощи ПК, генератор, провода, штепсельные соединения, аккумуляторную батарею.

Перечень шагов проверки:

Проведите текущий контроль:

Проверьте сигналы ""Клемма 30"" и ""Клемма 15"" с помощью ПК на достоверность (двигатель запущен, заданное значение 24-28 В). Если эти значения правильные, то измерьте напряжение.

Измерьте напряжение:

Замер напряжения непосредственно на выводах блоков управления X1/9, X1/12, X1/15 (+) и X1/18, X1/21 (-). Заданное значение 18-29,5 вольт. Если измеренные (на разъемах блока управления) значения находятся в пределах заданного диапазона, но данная неисправность присутствует, замените FFR (A403)."
00161,Частота вращения на входе в коробку передач,"Состояние неисправности: FMI 7

Приоритет 1

В сочетании с символом STOP необходимо остановить двигатель.

Индикация неисправности:

Контрольная лампа коробки передач (H179) горит, а центральная сигнальная лампа (H111) мигает красным цветом.

Проявление неисправности:

Используется заменяющее значение, основанное на модели (крутящий момент на выходе коробки передач).

Причина неисправности:

Крутящий момент на входе коробки передач неисправен.

Устранение неисправности:

1. Проверьте жгут проводов коробки передач (комплект вспомогательного оборудования коробки передач) на короткое замыкание и разрыв.

Проверьте сигнал ""Частота вращения на входе коробки передач"" на достоверность с помощью ПК. Частота вращения на входе коробки передач на холостом ходу должна составлять примерно 700 об./мин

2. Проверьте блок питания на наличие других неисправностей, если таковые имеются, замените блок питания, закажите новый файл с данными и запрограммируйте его. Необходимо выполнить следующие шаги: Заново запрограммируйте систему - введите насос в эксплуатацию - удалите воздух из коробки передач - удалите воздух из сцепления - опорожните коробку передач - откорректируйте положение сцепления - установите точку приложения."
00171,наружная температура,"Состояние неисправности: FMI

Приоритет 5

Индикация во время движения и остановки автомобиля; только указание на неисправность

Индикация неисправности:

Центральная сигнальная лампа (H111) светится желтым цветом.

Проявление неисправности:

Сохраняется последнее значение, входящее в диапазон допустимых значений.

Причина неисправности:

Сигнал внешней температуры неисправен.

Устранение неисправности:

1. Проверьте индикацию температуры на панели (A407). Если температура не индицируется на панели, проверьте электропроводку температурного датчика и его контакты. После этого проверьте омметром FFR. Между PIN X4/18 опорный потенциал температурного датчика (масса) и PIN X1/3 сопротивление составляет примерно 12,3 кОм (со стороны автомобиля) и примерно 1,8 Ом (со стороны FFR) или 0 В. Между PIN X3/14 и PIN X1/3 сопротивление составляет примерно 2,38 кОм (со стороны автомобиля) и примерно 10 кОм (со стороны FFR) или напряжение 1,04 В при внешней температуре 22,5°C.

2. Проверьте T-CAN на наличие других неисправностей, в случае наличия таковых проверьте провода и штепсельные соединения T-CAN и, при необходимости, измерьте сопротивление.

Перечень шагов проверки:

Выполните шаги проверки электронной системы FFR и сравните значения.

Проверьте T-CAN."
00175,Сигнал температуры охлаждающей жидкости двигателя.,"Состояние неисправности: FMI 8

Приоритет 4

На дисплее отсутствует индикация неисправности, центральная сигнальная лампа (H111) не горит и не мигает, другие контрольные лампы не горят.

Индикация неисправности:

Проверьте показания манометра охлаждающей жидкости. Центральная сигнальная лампа (H111) не горит.

Проявление неисправности:

Сохраняется последнее значение, входящее в диапазон допустимых значений.

Причина неисправности:

Сигнал ""температуры охлаждающей жидкости двигателя"" неисправен.

Устранение неисправности:

Сообщение поступает от EDC (A435), поэтому проверьте индикацию EDC с помощью ПК. Если температура двигателя не соответствует нормальной, проверьте циркуляцию охлаждающей жидкости. Проверьте, не диагностирует ли FFR (A403) неисправность.

Перечень шагов проверки:

Проверьте T-CAN.

Сопротивление на T-CAN должно составлять 60 Ом - неисправность отсутствует. Если сопротивление составляет примерно 0 Ом, то между CAN H и CAN L присутствует замыкание, если сопротивление составляет 120 Ом, то согласующий резистор или соединение с ним повреждено. Еще более высокое значение сопротивления указывает на поломку CAN или неисправность обоих согласующих резисторов."
