code,description
3002,Y2 клапан делителя медленный
3003,Y3 клапан делителя быстродействующий
3004,Y4 клапан положения дорожки 3/4
3005,Y5 клапан положения дорожки 1/2
3006,Y6 клапан положения переключения 1/R
3007,Y3 клапан положения переключения 2/3
3008,Y3 клапан заднего делителя малый
3009,Y3 клапан заднего делителя большой
3010,Y10 главный клапан
3017,Y1 трансмиссионный тормоз
3018,Малый клапан для открытия сцепления
3019,Малый клапан для закрытия сцепления
3020,Большой клапан для открытия сцепления
3021,Большой клапан для закрытия сцепления
3022,Электропитание датчика частоты вращения на валу отбора мощности ASTRONIC
3024,Текущий момент ретардера WSK в процентах
3026,"Шина данных CAN конфигурации двигателя EDC, engine configuration"
3027,"Шина данных CAN конфигурации двигателя EDC, engine configuration"
3028,"Шина данных CAN контроля ретардера от вторичного ретардера, ERC1_RD (текущий момент ретардера, actual retarder torque)"
3029,"Шина данных CAN контроля ретардера от вторичного ретардера, ERC1 (дополнительный нагрев двигателя, engine coolant load increase)"
3030,"Шина данных CAN конфигурации ретардера от вторичного ретардера, Ret_Conf driveline retarder configuration"
3031,"Шина данных CAN контроля ретардера от FFR, передающего тормозной момент двигателя, ""ERC1_ REX retarder percent torque"""
3032,"Шина данных CAN конфигурация моторного тормоза, engine retarder configuration"
3033,"Шина данных CAN конфигурация моторного тормоза, engine retarder configuration"
3049,Y1 трансмиссионный тормоз
3050,Малый клапан для открытия сцепления
3051,Малый клапан для закрытия сцепления
3052,Большой клапан для открытия сцепления
3053,Большой клапан для закрытия сцепления
3059,Обратный сигнал коробки отбора мощности 1
3060,Обратный сигнал коробки отбора мощности 2
3061,Выключение коробки отбора мощности 1
3062,Выключение коробки отбора мощности 2
3063,Включение коробки отбора мощности 1
3064,Включение коробки отбора мощности 2
3090,ECU (контроллер связи 1 + 2)
3091,"Шина данных CAN EBS1 от EBS, EBC1"
3099,Частота вращения вала 1
3101,Частота вращения вала 1+2
3102,Частота вращения на входе и выходе коробки передач
3103,Шина данных CAN скорости автомобиля от EDC
3107,Напряжение (датчик сцепления)
3111,"Шина данных CAN, сообщение о таймауте информации о времени/дне от ZBR2, TIME/DATE"
3112,"Шина данных CAN, сообщение о таймауте информации о времени/дне от ZBR2, TIME/DATE"
3113,"Шина данных CAN, сообщение таймаута конфигурации ретардера, Ret_Conf (Driveline retarder configuration)"
3117,Сбой автоматической настройки сцепления
3118,Сцепление не открывается
3119,Сцепление не закрывается/не передает момент
3120,Механическая неисправность (малый клапан для открытия сцепления)
3121,Механическая неисправность (малый клапан для закрытия сцепления)
3122,Механическая неисправность (большой клапан для открытия сцепления)
3123,Механическая неисправность (большой клапан для закрытия сцепления)
3124,Неисправность хода сцепления
3125,Неисправность клапана ограничения давления
3126,Неверный сигнал давления
3127,Сбой температуры ECU
3128,Сбой сигнала температуры масла
3129,Нет сигнала от датчика включения основной коробки передач
3132,Сбой автоматической настройки датчика включения
3133,Сигнал датчика выбора дорожки
3136,Сбой сохранения сигнала датчика выбора дорожки
3137,Сигнал датчика перемещения заднего делителя
3140,Сбой сохранения датчика перемещения заднего делителя
3141,Нет сигнала перемещения делителя
3144,Сбой автоматической настройки сигнала перемещения делителя
3145,Задний делитель не выключается
3146,Сбой переключения заднего делителя
3147,Задний делитель не включается
3148,Делитель не выключается
3149,Сбой переключения делителя
3150,Группа делителя не включается
3151,Цилиндр выбора не открывается
3152,Сбой переключения дорожки
3153,Цилиндр выбора не закрывается
3154,Передача в основной коробке передач не выключается
3155,Передача в основной коробке передач не включается
3156,В основной коробке передач включена неправильная передача
3158,Сигнал датчика переключения передается длительно
3159,Сигнал датчика переключения заднего делителя передается длительно
3160,Сигнал датчика переключения делителя передается длительно
3163,Двигатель не реагирует на задание момента
3164,"Шина данных CAN электронной регулировки двигателя 1 от EDC, EEC1 (положение педали акселератора, drivers demand engine percent torque)"
3166,Постоянный сигнал холостого хода
3169,Размыкающее реле в ECU не выключается
3170,"Нет электропитания на клемме 30, или размыкающее реле в ECU не включается"
3171,"Шина данных CAN электронной регулировки двигателя 1 от EDC, EEC1 (момент двигателя, actual engine percent torque)"
3175,Сбой сигнала замка зажигания (клемма 15)
3177,Шина данных CAN трансмиссии
3178,Шина данных CAN предупреждения о неисправности
3179,"Шина данных CAN, задействован входной амортизатор"
3180,"Шина данных CAN электронной регулировки двигателя 1 от EDC, EEC1"
3181,"Шина данных CAN электронной регулировки двигателя 2 от EDC, EEC2"
3182,"Шина данных CAN Tempomat/скорости от EDC, CCVS"
3183,"Шина данных CAN моторного тормоза от FFR, ERC1_REX"
3184,"Шина данных CAN ретардера от вторичного ретардера, ERC1_RD"
3185,"Шина данных CAN первичного ретардера WSK, ERC1_RE"
3186,"Шина данных CAN первичного ретардера WSK, ETC1_WSK"
3187,"Шина данных CAN первичного ретардера, информация о конфигурации"
3188,"Неисправность блоков управления, неверное прерывание"
3189,"Неисправность блоков управления, stack watch"
3190,Параметры EOL ЭСППЗУ находятся вне нормального диапазона
3191,EOL ЭСППЗУ. Сбой контрольной суммы
3192,Неисправность блоков управления — сбой доступа к ЭСППЗУ
3193,Температура ECU слишком высокая
3194,Сбой обоих источников сигнала о скорости переднего моста
3196,"Шина данных CAN пробега автомобиля от ZBR2, Veh_Dist"
3198,"Шина данных CAN относительной частоты вращения колеса от EBS, EBC2 (WSI) (относительная частота вращения колеса, relative wheel speed)"
3199,"Шина данных CAN информации о частоте вращения колеса от EBS, EBC2 (WSI)"
3209,"Нажата кнопка аварийного отключения, или ECU обесточен"
3210,"Шина данных CAN тахографа от ZBR2, TCO1"
3211,"Шина данных CAN контроля коробки передач FFR, TC1_FT"
3212,"Шина данных CAN контроля коробки передач от FFR, TC1_FT (требуемая передача, requested gear)"
3213,"Шина данных CAN контроля коробки передач от FFR, TC1_FT (требуемая группа, requested range)"
3214,"Шина данных CAN контроля коробки передач от FFR, TC1_FT (требование коробки отбора мощности, PTO request)"
3215,"Шина данных CAN информации от ZBR (aux_stat_zbr#1), таймаут"
3227,Поле данных связи CAN
4000,Уберите ногу с педали сцепления
4001,Недостаточное давление воздуха
4002,Перегрузка сцепления
4003,Износ сцепления
4004,Износ сцепления
