code,description,steps
3000,Датчик наружной температуры,"Состояние неисправности:

FMI 5, короткое замыкание на массу

FMI 12, разрыв или короткое замыкание на +UBat

Причина неисправности: неисправный датчик наружной температуры, неисправность жгута проводов.

Устранение неисправности: с помощью ПК проверьте достоверность сигнала, проверьте датчик наружной температуры, проверьте провода, проверьте штекерные соединения.

Этапы контроля:

Проведение текущего контроля:

С помощью ПК проверьте достоверность сигнала «Датчик наружной температуры».

Замеры сопротивления:

Датчик наружной температуры; блок управления отопителя/кондиционера (A250) – между Pin A4 (+) и Pin A9 (-): ~ 10 кОм при 25°C"
3001,Датчик температуры испарителя,"Состояние неисправности:

FMI 5, короткое замыкание на массу

FMI 12, разрыв или короткое замыкание на +UBat

Причина неисправности: неисправный датчик температуры испарителя, неисправность жгута проводов.

Устранение неисправности: с помощью ПК проверьте достоверность сигнала, проверьте датчик температуры испарителя, проверьте провода, проверьте штекерные соединения.

Этапы проверки:

Проведение текущего контроля:

С помощью ПК проверьте достоверность сигнала «Датчик температуры испарителя».

Измерение сопротивления:

датчик температуры испарителя; блок управления отопителя/кондиционера (A250) – между Pin A8 (+) и Pin A9 (-): ~ 10 кОм при 25°C"
3002,Датчик температуры теплообменника,"Состояние неисправности:

FMI 5, короткое замыкание на массу

FMI 12, разрыв или короткое замыкание на +UBat

Причина неисправности: неисправный датчик температуры теплообменника, неисправность жгута проводов.

Устранение неисправности: с помощью ПК проверьте достоверность сигнала, проверьте датчик температуры теплообменника, проверьте провода, проверьте штекерные соединения.

Этапы проверки:

Проведение текущего контроля:

С помощью ПК проверьте достоверность сигнала «Датчик температуры теплообменника».

Измерение сопротивления:

Датчик температуры теплообменника; блок управления отопителя/кондиционера (A250) – между Pin A5 (+) и Pin A9 (-): ~ 10 кОм при 25°C"
3003,Датчик внутренней температуры,"Состояние неисправности:

FMI 9, неисправность прибора

Причина неисправности: неисправный датчик внутренней температуры, устройство управления обогревом кабины водителя (A474) неисправно.

Устранение неисправности: с помощью ПК проверьте достоверность сигнала.

Этапы проверки:

Проведение текущего контроля:

С помощью ПК проверьте достоверность сигнала «Датчик внутренней температуры»."
3011,Шаговый двигатель боковой форсунки,"Состояние неисправности:

FMI 6, короткое замыкание на +UBat

FMI 13, разрыв или короткое замыкание на массу

Причина неисправности: неисправный шаговый двигатель боковой форсунки, неисправность жгута проводов.

Устранение неисправности: с помощью ПК проверьте достоверность сигнала, проведите тестирование исполнительных элементов, проверьте шаговый двигатель боковой форсунки, проверьте провода, проверьте штекерные соединения.

Этапы проверки:

Проведение текущего контроля:

С помощью ПК проверьте достоверность сигнала «Шаговый двигатель боковой форсунки».

Тестирование исполнительных элементов:

С помощью ПК проведите тестирование исполнительных элементов «Шаговый двигатель боковой форсунки»."
3012,Шаговый двигатель рециркуляционного воздуха,"Состояние неисправности:

FMI 5, короткое замыкание на массу

FMI 12, разрыв или короткое замыкание на +UBat

Причина неисправности: неисправный шаговый двигатель рециркуляционного воздуха, неисправность жгута проводов.

Устранение неисправности: с помощью ПК проверьте достоверность сигнала, проведите тестирование исполнительных элементов, проверьте шаговый двигатель рециркуляционного воздуха, проверьте провода, проверьте штекерные соединения.

Этапы проверки:

Проведение текущего контроля:

С помощью ПК проверьте достоверность сигнала «Шаговый двигатель рециркуляционного воздуха».

Тестирование исполнительных элементов:

С помощью ПК проведите тестирование исполнительных элементов «Шаговый двигатель рециркуляционного воздуха»."
3013,Шаговый двигатель распределения воздуха,"Состояние неисправности:

FMI 6, короткое замыкание на +UBat

FMI 13, разрыв или короткое замыкание на массу

Причина неисправности: неисправный шаговый двигатель распределения воздуха, неисправность жгута проводов.

Устранение неисправности: с помощью ПК проверьте достоверность сигнала, проведите тестирование исполнительных элементов, проверьте шаговый двигатель распределения воздуха, проверьте провода, проверьте штекерные соединения.

Этапы проверки:

Проведение текущего контроля:

С помощью ПК проверьте достоверность сигнала «Шаговый двигатель распределения воздуха».

Тестирование исполнительных элементов:

С помощью ПК проведите тестирование исполнительных элементов «Шаговый двигатель распределения воздуха»."
3014,Шаговый двигатель обхода,"Состояние неисправности:

FMI 6, короткое замыкание на +UBat

FMI 13, разрыв или короткое замыкание на массу

Причина неисправности: неисправный шаговый двигатель обхода, неисправность жгута проводов.

Устранение неисправности: с помощью ПК проверьте достоверность сигнала, проведите тестирование исполнительных элементов, проверьте шаговый двигатель обхода, проверьте провода, проверьте штекерные соединения.

Этапы проверки:

Проведение текущего контроля:

С помощью ПК проверьте достоверность сигнала «Шаговый двигатель обхода».

Тестирование исполнительных элементов:

С помощью ПК проведите тестирование исполнительных элементов «Шаговый двигатель обхода»."
3040,Вентилятор,"Состояние неисправности:

FMI 5, короткое замыкание на массу

FMI 6, короткое замыкание на +UBat

Причина неисправности: неисправный регулятор вентилятора, неисправность жгута проводов, неисправный двигатель вентилятора.

Устранение неисправности: с помощью ПК проверьте достоверность сигнала, проведите тестирование исполнительных элементов, проверьте провода, проверьте штекерные соединения, проверьте регулятор вентилятора, проверьте двигатель вентилятора, проверьте предохранитель F131.

Этапы проверки:

Проведение текущего контроля:

С помощью ПК проверьте достоверность сигнала «Вентилятор».

Тестирование исполнительных элементов:

С помощью ПК проведите тестирование исполнительных элементов «Вентилятор»."
3041,Компрессор,"Состояние неисправности:

FMI 5, короткое замыкание на массу

FMI 10, разрыв

Причина неисправности: высокое или низкое давление в контуре охлаждения, неисправное реле высокого/низкого давления (B203), неисправная муфта компрессора (Y114), неисправность жгута проводов.

Устранение неисправности: проведите тестирование исполнительных элементов, проверьте провода, проверьте штекерные соединения, проверьте муфту компрессора (Y114), измерьте напряжение.

Этапы проверки:

Тестирование исполнительных элементов:

С помощью ПК проведите тестирование исполнительных элементов «Компрессор».

Измерение напряжения:

Муфта компрессора; блок управления отопителя/кондиционера (A250) – между Pin A24 (+) и Pin A25 (-): 16-32 В (Uбат)"
