code,description,steps
03001,Неисправность устройства управления.,"Сигнальная лампа STOP светится красным цветом. Отключаются: регулирование давления переднего, заднего, дополнительного мостов, клапана управления прицепом, ABS, ESP, ASR. Внутренняя ошибка в блоке EBS (A402). Очистить регистратор неисправностей, проверить наличие других кодов и выполнить мероприятия по поиску неисправностей для этих кодов. После этого снова очистить регистратор неисправностей, если ошибка появится снова, заменить блок EBS (А402)."
03005,"Ошибка EEPROM, задание параметров.","Сигнальная лампа STOP светится красным цветом. Отключаются: регулирование давления переднего, заднего, дополнительного мостов, клапана управления прицепом, ABS, ESP, ASR. Внутренняя ошибка в блоке EBS (A402). Очистить регистратор неисправностей, проверить наличие других кодов и выполнить мероприятия по поиску неисправностей для этих кодов. После этого снова очистить регистратор неисправностей, если ошибка появится снова, заменить блок EBS (А402)."
03010,"Диаметр колеса, неверное значение.","Сигнальная лампа STOP горит желтым цветом. Отключаются: ABS, ESP, ASR. Неверный размер шин. Проверить размер шин на предмет отклонений между собой."
03012,Параметр EEPROM.,"Сигнальная лампа STOP светится красным цветом. Отключаются: регулирование давления переднего, заднего, дополнительного мостов, клапана управления прицепом, ABS, ESP, ASR. Неверные параметры системы. Проверить параметры блока EBS (A402). Если установленные параметры правильные, заменить блок EBS (A402)."
03014,"Устройство управления, питание, клемма 30а.","Сигнальная лампа STOP светится красным цветом. Отключаются: регулирование давления переднего, заднего, дополнительного мостов, клапана управления прицепом, ABS, ESP, ASR. Нарушена подача питания (клемма 30а). Проверить предохранитель F161. Проверить напряжение питания на клемме 30а при помощи ПК. Проверить проводку подачи питания на клемму 30а на предмет обрывов, падения напряжения и высокое сопротивление. Если неисправность не обнаружена, заменить блок EBS (A402)."
03015,"Устройство управления, питание, клемма 30b.","Сигнальная лампа STOP светится красным цветом. Отключаются: регулирование давления переднего, заднего, дополнительного мостов, клапана управления прицепом, ABS, ESP, ASR. Нарушена подача питания (клемма 30b). Проверить предохранитель F393. Проверить напряжение питания на клемме 30b при помощи ПК. Проверить проводку подачи питания на клемму 30b на предмет обрывов, падения напряжения и высокое сопротивление. Проверить проводку подачи питания к модулю регулировки давления заднего моста (Y264) на предмет замыкания на массу. Проверить модуль регулировки давления заднего моста (Y264) на предмет внутреннего замыкания линии питания на массу. Если неисправность не обнаружена, заменить блок EBS (A402)."
03016,"Устройство управления, питание, клемма 15.","Сигнальная лампа STOP горит желтым цветом. Функции пользователя не ограничены. Нарушена подача питания (клемма 15). Проверить предохранитель F162. Проверить напряжение питания на клемме 15 при помощи ПК. Проверить проводку подачи питания на клемму 15 на предмет обрывов, падения напряжения и высокое сопротивление. Проверить выключатель зажигания на предмет высокого сопротивления. Если неисправность не обнаружена, заменить блок EBS (A402)."
03017,"Устройство управления, внешнее питание.","Сигнальная лампа STOP светится красным цветом. Отключаются: регулирование давления переднего, заднего, дополнительного мостов, клапана управления прицепом, ABS, ESP, ASR. Напряжение аккумуляторных батарей слишком высокое (>32 В.) или слишком низкое (<16 В.). Проверить напряжение питания блока EBS (А402) при помощи ПК (20-28 В.). Проверить аккумуляторы и генератор. Проверить проводку и контакты в разъёмах между блоком EBS (A402) и бортовой сетью (A100) (Х1/1, Х1/2, Х1/3+, Х1/15-). Если неисправность не обнаружена, заменить блок EBS (А402)."
03018,Выключатель тормоза 1 или 2.,"Сигнальная лампа STOP горит желтым цветом. Функции пользователя не ограничены. В устройстве управления обнаружен отказ выключателя тормоза. Очистить регистратор неисправностей, проверить наличие других кодов и выполнить мероприятия по поиску неисправностей для этих кодов. После этого снова очистить регистратор неисправностей, если ошибка появится снова, заменить блок EBS (А402)."
03019,Заданное значение датчиков (позиция педали акселератора на позицию педали тормоза).,"FMI 3,8: Сигнальная лампа STOP горит желтым цветом. Функции пользователя не ограничены. Недостоверность между положениями педали акселератора и педали тормоза. Проверить педали акселератора и тормоза на предмет механических повреждений и наличия люфтов. Проверить монтажное положение блока EBS (A402) на перекос. Проверить идентификацию сигналов педалей. Если неисправность не обнаружена, заменить блок EBS (А402). FMI 9: Сигнальная лампа STOP светится красным цветом. Отключаются: регулирование давления переднего, заднего, дополнительного мостов, клапана управления прицепом, ABS, ESP, ASR. Отказ датчиков заданных величин в блоке EBS (A402). Проверить монтажное положение блока EBS (A402) на перекос. Если неисправность не обнаружена, заменить блок EBS (А402)."
03021,"Модуль ножного тормоза, сигнал заданного значения 1 или 2.","Сигнальная лампа STOP горит желтым цветом. Функции пользователя не ограничены. Отказ датчика заданного значения. Проверить монтажное положение блока EBS (A402) на перекос. Если неисправность не обнаружена, заменить блок EBS (А402)."
03024,"Тормозные накладки осей, динамическое развитие неисправности.","Сигнальная лампа STOP горит желтым цветом. Функции пользователя не ограничены. Отклонение износа тормозных накладок для разных осей. Проверить износ тормозных накладок при помощи ПК на предмет отклонений. Выполнить визуальный контроль накладок на предмет износа, загрязнений и замасливаний. Проверить все датчики износа тормозных накладок, проверить работу тормозных механизмов."
03025,"Тормозные накладки передней оси, отклонение износа.","Сигнальная лампа STOP горит желтым цветом. Функции пользователя не ограничены. Отклонение износа тормозных накладок передней оси. Проверить износ тормозных накладок при помощи ПК на предмет отклонений. Выполнить визуальный контроль накладок на предмет износа, загрязнений и замасливаний. Проверить все датчики износа тормозных накладок передней оси (правый датчик износа накладок передней оси В332, левый датчик износа накладок передней оси В333), проверить работу тормозных механизмов."
03026,"Тормозные накладки первой задней оси, отклонение износа.","Сигнальная лампа STOP горит желтым цветом. Функции пользователя не ограничены. Отклонение износа тормозных накладок первой задней оси. Проверить износ тормозных накладок при помощи ПК на предмет отклонений. Выполнить визуальный контроль накладок на предмет износа, загрязнений и замасливаний. Проверить все датчики износа тормозных накладок первой задней оси (правый датчик износа накладок первой задней оси В334, левый датчик износа накладок первой задней оси В335), проверить работу тормозных механизмов."
03027,"Тормозные накладки второй задней оси, отклонение износа.","Сигнальная лампа STOP горит желтым цветом. Функции пользователя не ограничены. Отклонение износа тормозных накладок второй задней оси. Проверить износ тормозных накладок при помощи ПК на предмет отклонений. Выполнить визуальный контроль накладок на предмет износа, загрязнений и замасливаний. Проверить все датчики износа тормозных накладок второй задней оси, проверить работу тормозных механизмов."
03028,"Тормозные накладки дополнительной оси, отклонение износа.","Сигнальная лампа STOP горит желтым цветом. Функции пользователя не ограничены. Отклонение износа тормозных накладок дополнительной оси. Проверить износ тормозных накладок при помощи ПК на предмет отклонений. Выполнить визуальный контроль накладок на предмет износа, загрязнений и замасливаний. Проверить все датчики износа тормозных накладок дополнительной оси, проверить работу тормозных механизмов."
03035,"Модулятор задней оси, питание.","Сигнальная лампа STOP горит желтым цветом. Функции пользователя не ограничены. Сбой питания для модуля регулировки давления задней оси (Y264). Проверить подачу питания модуля регулировки давления задней оси (Y264) (Х61/1+, Х61/2- / значение 20-28 В.). Проверить проводку и контакты в разъёмах  между блоком EBS (A402) (Х2/14+, Х2/21-) и модулем регулировки давления задней оси (Y264) (Х61/1+, Х61/2-). Проверить подводящий кабель резервного клапана задней оси на предмет замыкания на постоянное электропитание. Если неисправность не обнаружена, заменить блок EBS (А402)."
03037,"Динамика движения, датчик угла поворота рулевого колеса, питание.","Сигнальная лампа STOP горит желтым цветом. Отключается ESP. Питание датчика угла поворота рулевого колеса отсутствует. FMI 5: Проверить проводку между блоком EBS (A402) и датчиком скорости вращения ESP (B476) на предмет замыкания на массу. Проверить проводку между блоком EBS (A402) и преобразователем напряжения датчика угла поворота рулевого колеса (Т122) на предмет замыкания на массу. Для проверки пробуйте поочерёдно менять датчик скорости вращения ESP (В476), модуль датчика угла поворота рулевого колеса с преобразователем напряжения (Т122), блок EBS (A402). FMI 6: Проверить проводку между блоком EBS (A402) и датчиком скорости вращения ESP (B476) на предмет замыкания на Uбат. и короткие замыкания. Проверить проводку между блоком EBS (A402) и преобразователем напряжения датчика угла поворота рулевого колеса (Т122) на предмет замыкания на Uбат. и короткие замыкания. Для проверки заменить блок EBS (A402)."
