code,description,steps
597,"Модуль ножного тормоза, выключатель 1.","Замыкание на массу (FMI5). Сигнальная лампа STOP горит желтым цветом. Функции пользователя не ограничены. Электрическая или механическая неисправность модуля ножного тормоза, неисправна проводка или контакты в разъёмах. Проверить проводку и разъёмы между блоком EBS (A402) и датчиком модуля ножного тормоза (В337) на предмет замыканий и обрывов. Отсоединить разъём от блока EBS (А402) и проверить сопротивление между контактами модуля ножного тормоза _SIG1 (X1/5) и _GND (Х1/4). R_SW1 открыт: значение сопротивления R_SIG1 меньше 4,8 кОм или больше 6,5 кОм. R_SW1 закрыт: значение сопротивления R_SIG1 5.4-6.2 кОм. Если значения сопротивления находятся за пределами допустимых значений, заменить модуль ножного тормоза."
597,"Модуль ножного тормоза, выключатель 1.","Замыкание на электропитание Uбат (FMI6). Сигнальная лампа STOP горит желтым цветом. Функции пользователя не ограничены. Электрическая или механическая неисправность модуля ножного тормоза, неисправна проводка или контакты в разъёмах. Проверить проводку и разъёмы между блоком EBS (A402) и датчиком модуля ножного тормоза (В337) на предмет замыканий и обрывов. Отсоединить разъём от блока EBS (А402) и проверить сопротивление между контактами модуля ножного тормоза _SIG1 (X1/5) и _GND (Х1/4). R_SW1 открыт: значение сопротивления R_SIG1 меньше 4,8 кОм или больше 6,5 кОм. R_SW1 закрыт: значение сопротивления R_SIG1 5.4-6.2 кОм. Если значения сопротивления находятся за пределами допустимых значений, заменить модуль ножного тормоза."
603,"Модуль ножного тормоза, выключатель 2.","Замыкание на массу (FMI5). Сигнальная лампа STOP горит желтым цветом. Функции пользователя не ограничены. Электрическая или механическая неисправность модуля ножного тормоза, неисправна проводка или контакты в разъёмах. Проверить проводку модуля ножного тормоза. Если проводка в норме, заменить модуль ножного тормоза."
603,"Модуль ножного тормоза, выключатель 2.","Замыкание на электропитание Uбат (FMI6). Сигнальная лампа STOP горит желтым цветом. Функции пользователя не ограничены. Электрическая или механическая неисправность модуля ножного тормоза, неисправна проводка или контакты в разъёмах. Проверить проводку модуля ножного тормоза. Если проводка в норме, заменить модуль ножного тормоза."
609,"Центральное устройство управления, В-контроллер.","Неопределённая неисправность (FMI0). Сигнальная лампа STOP светится красным цветом, также красным цветом светится лампа общего контроля тормозов. Все функции пользователя отключены. Прервана загрузка программного обеспечения, повреждён микроконтроллер блока EBS (A402). Обновить программное обеспечение в блоке EBS (А402), очистить регистратор неисправностей. Если код неисправности появится снова, заменить блок EBS (А402)."
627,Электропитание.,"Не идентифицируется (FMI3). Сигнальная лампа STOP светится красным цветом, также красным цветом светится лампа общего контроля тормозов. Все функции пользователя отключены. Обрыв в цепи питания или неисправен блок EBS (А402). Проверить соединения клеммы 30 цепи питания: UB_1 (Х1/17), UB_2 (X1/16), GND_1 (X1/12), GND_2 (X1/11)."
629,"Центральное устройство управления, А-контроллер.","Неопределённая неисправность (FMI0). Сигнальная лампа STOP светится красным цветом, также красным цветом светится лампа общего контроля тормозов. Все функции пользователя отключены. Временное состояние неисправности. Временное переключение для создания резервной копии. Для обеспечения безопасности, система выполняет диагностику для проведения системного теста."
639,"Канал данных J1939, CAN трансмиссии.","Сигнал отсутствует (FMI4). Сигнальная лампа STOP светится красным цветом, также красным цветом светится лампа общего контроля тормозов. Все функции пользователя отключены. Неисправен блок EBS (А402). Очистить регистратор неисправностей. Если код неисправности появится снова, заменить блок EBS (А402)."
639,"Канал данных J1939, CAN трансмиссии.","Обрыв (FMI10). Сигнальная лампа STOP горит желтым цветом. Отключаются: тормоз-замедлитель, контроль ESP, контроль регулировки момента ведения (DTC), контроль двигателя ASR, контроль тормозов ASR. Повреждена проводка канала данных CAN соединения с трансмиссией, неисправность в цепи электропитания или электромагнитные помехи. Проверить проводку канала данных и проводку блока трансмиссии на предмет обрывов и замыканий. Проверить правильность функционирования блоков управления, связанных с CAN трансмиссии."
645,"Канал данных соединения с тахографом, превышение времени ожидания.","Сигнал отсутствует (FMI4). Сигнальная лампа STOP горит желтым цветом. Функции пользователя не ограничены. Электромагнитные помехи, внешнее устройство отключено от канала данных, внешнее устройство посылает не все сообщения из за неисправности. Проверить проводку канала данных на предмет обрывов и замыканий. Проверить правильность функционирования внешнего устройства."
746,Клапан блокировки дифференциала.,Замыкание на массу (FMI5). Сигнальная лампа STOP горит желтым цветом. Функция блокировки дифференциала ограничена. Повреждена проводка в цепи блокировки или неисправен блок EBS (А402). Очистить регистратор неисправностей. Проверить проводку и разъёмы между блоком EBS (А402) и клапаном включения блокировки.
746,Клапан блокировки дифференциала.,"Замыкание на электропитание Uбат (FMI6). Сигнальная лампа STOP светится красным цветом, также красным цветом светится лампа общего контроля тормозов. Функция блокировки дифференциала ограничена. Повреждена проводка в цепи блокировки или неисправен блок EBS (А402). Очистить регистратор неисправностей. Проверить проводку и разъёмы между блоком EBS (А402) и клапаном включения блокировки."
789,"Датчик скорости вращения колеса, колесо 1.","Сигнал отсутствует (FMI4). Сигнальная лампа STOP горит желтым цветом. Отключаются: контроль ABS,  контроль ESP, контроль регулировки момента ведения (DTC), контроль двигателя ASR, контроль тормозов ASR. Большой зазор между датчиком и зубчатым колесом, повреждена проводка, контакты в разъёмах, неисправен датчик, повреждено зубчатое колесо или неисправен модулятор. Проверить сопротивление датчика: 950-1930 Ом. Проверить проводку и контакты в разъёмах между модулятором и датчиком. Проверить целостность зубчатого колеса. Проверить зазор между датчиком и зубчатым колесом. Проверить люфт ступичного подшипника. Если проводка, датчик, зубчатое колесо, ступичный подшипник в норме, заменить модулятор. "
