code,description
00639,Отключена шина данных CAN.
01043,Напряжение питания для внешних устройств.
03001,Внутренняя неисправность в блоке управления.
03010,Контрольная сумма специальных данных в блоке управления.
03011,Контрольная сумма параметров в блоке управления.
03012,Контрольная сумма данных в блоке управления калибровки датчиков уровня пневматической подвески.
03013,Контрольная сумма данных в блоке управления калибровки датчиков давления пневматической подвески.
03015,Контрольная сумма допустимой нагрузки на мосты в блоке управления.
03050,"Устройство управления, питание."
03051,"Устройство управления, данные в линии передачи."
03052,"Устройство управления, тактовая шина."
03053,"Устройство управления №2, данные в линии передачи."
03054,"Устройство управления №2, тактовая шина."
03061,Прерывание связи.
03062,Сообщение CAN VSC1.
03063,Сообщение CAN EEC1.
03064,Сообщение CAN EBC2.
03065,Сообщение CAN FFR_1.
03066,Сообщение CAN ECAM_1.
03067,Сообщение CAN EBS (нагрузка на ведущую ось).
03068,Сообщение CAN EBC5.
03069,Сообщение CAN EBC1.
03070,Сообщение CAN о времени и дате.
03074,"Сообщение CAN, индикация приборной панели."
03075,Ошибочное сообщение CAN (ASC_2C).
03076,Ошибочное сообщение CAN (ASC_2A).
03077,Ошибочное сообщение CAN (ASC_2B).
03078,Ошибочное сообщение CAN (ASC_6A).
03079,Ошибочное сообщение CAN (ASC_6B).
03080,"Ошибочное сообщение CAN, состояние двери."
03081,Ошибочное сообщение CAN (TCO1).
03082,"Ошибочное сообщение CAN , пробег в километрах."
03101,Левый датчик уровня задней оси.
03102,Правый датчик уровня задней оси.
03103,Датчик уровня передней оси.
03151,Левый датчик давления задней оси.
03152,Правый датчик давления задней оси
03153,Датчик давления передней оси.
03154,Датчик давления передней оси.
03155,Правый датчик уровня второй задней оси.
03156,Левый датчик уровня второй задней оси.
03157,Датчик давления в тормозной системе.
03158,Датчик давления подвесной оси.
03170,Датчик угла поворота рулевого колеса.
03200,"Электромагнитные клапаны, напряжение питания или обратная связь."
03201,"Электромагнитный клапан 2/2, задняя ось, левая сторона."
03202,"Электромагнитный клапан 2/2, задняя ось, правая сторона."
03203,"Электромагнитный клапан 2/2, передняя ось."
03204,"Электромагнитный клапан 3/3, подъёмная ось, подъём или опускание."
03205,"Электромагнитный клапан 3/3, подъёмная ось, подъём или опускание."
03206,"Электромагнитный клапан 3/2, запасной."
03207,"Электромагнитный клапан 3/3, подъёмный сильфон."
03208,"Электромагнитный клапан 2/2, третья ось, правая сторона."
03209,"Электромагнитный клапан 2/2, третья ось, левая сторона."
03212,"Электромагнитный клапан, поперечный дроссель."
03216,"Электромагнитный клапан 3/3, вторая подъёмная ось, подъём или опускание."
03217,"Электромагнитный клапан 3/3, вторая подъёмная ось, подъём или опускание."
03230,"Заданный уровень, регулировка."
03231,Утечка.
03260,"Клапан амортизатора, напряжение питания или обратная связь."
03261,"Клапан амортизатора, передняя ось."
03262,"Клапан амортизатора, первая задняя ось."
03263,"Клапан амортизатора, вторая задняя ось."
