code,description,steps
81,Разность давлений выхлопных газов.,"Высокая или низкая разность давлений. Проверка правильности скорости изменения перепада давления выхлопных газов, проверка проводов и разъёмов."
94,Давление подачи топлива.,"Низкое или высокое давление топлива. Забит топливный фильтр, неисправен топливный насос, воздух в топливных магистралях. Проверить давление подачи топлива. Двигатель может заглохнуть. "
98,Уровень масла.,Высокий или низкий уровень масла. Проверить уровень масла.
100,Давление масла.,"Низкое давление масла. Проверить фактическое давления масла при помощи манометра, проверить провода и разъёмы."
102,Давление нагнетаемого воздуха в трубе наддува после промежуточного охладителя (интеркулера).,"Низкое давление нагнетаемого воздуха. Проверить правильность показаний датчика давления, проверить провода и разъёмы, проверить герметичность системы наддува, проверить турбокомпрессор ."
105,Температура нагнетаемого воздуха перед входом в цилиндры (после AGR).,"Высокая или низкая температура воздуха. Проверить правильность скорости изменения температуры нагнетаемого воздуха, проверить провода и разъёмы."
108,Атмосферное давление.,Проверить провода и разъёмы или достоверность скорости изменения атмосферного давления.
110,Температура охлаждающей жидкости.,"Высокая или низкая температура охлаждающей жидкости. Проверить правильность скорости изменения температуры охлаждающей жидкости, проверить провода и разъёмы. При слишком высокой температуре ограничивается крутящий момент двигателя."
168,Напряжение аккумуляторных батарей.,Низкое или высокое напряжение на входе в блок управления двигателем. Проверить напряжение на предмет выхода за допустимые пределы.
171,Температура окружающего воздуха.,"Высокая или низкая температура. Проверить правильность скорости изменения температуры, проверить провода и разъёмы."
173,Температура выхлопных газов перед дополнительной очисткой.,"Высокая или низкая температура. Проверить правильность скорости изменения температуры, проверить провода и разъёмы."
175,Температура топлива.,Датчик температуры не установлен.
175,Температура масла.,Проверить фактическую температуру.
190,Частота вращения двигателя.,Повреждение проводки или разъёмов в цепи датчиков частоты вращения коленчатого или распределительного вала. Возможно неисправен один из датчиков.
609,Модуль CAN 1.,Повреждение канала данных. Двигатель работает на холостом ходу.
651,"Банк1, инжектор 1 (четырёхцилиндровый двигатель цилиндр №1; шестицилиндровый двигатель цилиндр №1; восьмицилиндровый двигатель цилиндр №1 главный, цилиндр №5 подчинённый; десятицилиндровый двигатель цилиндр №1 главный, цилиндр №6 подчинённый; двенадцатицилиндровый двигатель цилиндр №1 главный, цилиндр №12 подчинённый).","Обрыв (FMI4) или замыкание (FMI1) в цепи инжектора. Проверить провода и разъёмы, проверить инжекторы. При обрыве в цепи инжектора отключается только один инжектор, при замыкании в цепи отключаются все инжекторы затронутого блока."
652,"Банк2, инжектор 1 (четырёхцилиндровый двигатель цилиндр №3; шестицилиндровый двигатель цилиндр №5; восьмицилиндровый двигатель цилиндр №2 главный, цилиндр №7 подчинённый; десятицилиндровый двигатель цилиндр №5 главный, цилиндр №10 подчинённый; двенадцатицилиндровый двигатель цилиндр №5 главный, цилиндр №8 подчинённый).","Обрыв (FMI4) или замыкание (FMI1) в цепи инжектора. Проверить провода и разъёмы, проверить инжекторы. При обрыве в цепи инжектора отключается только один инжектор, при замыкании в цепи отключаются все инжекторы затронутого блока."
653,"Банк1, инжектор 2 (четырёхцилиндровый двигатель цилиндр №4; шестицилиндровый двигатель цилиндр №3; восьмицилиндровый двигатель цилиндр №3 главный, цилиндр №6 подчинённый; десятицилиндровый двигатель цилиндр №2 главный, цилиндр №7 подчинённый; двенадцатицилиндровый двигатель цилиндр №3 главный, цилиндр №10 подчинённый).","Обрыв (FMI4) или замыкание (FMI1) в цепи инжектора. Проверить провода и разъёмы, проверить инжекторы. При обрыве в цепи инжектора отключается только один инжектор, при замыкании в цепи отключаются все инжекторы затронутого блока."
654,"Банк2, инжектор 2 (четырёхцилиндровый двигатель цилиндр №2; шестицилиндровый двигатель цилиндр №6; восьмицилиндровый двигатель цилиндр №4 главный, цилиндр №8 подчинённый; десятицилиндровый двигатель цилиндр №3 главный, цилиндр №8 подчинённый; двенадцатицилиндровый двигатель цилиндр №6 главный, цилиндр №7 подчинённый).","Обрыв (FMI4) или замыкание (FMI1) в цепи инжектора. Проверить провода и разъёмы, проверить инжекторы. При обрыве в цепи инжектора отключается только один инжектор, при замыкании в цепи отключаются все инжекторы затронутого блока."
655,"Банк1, инжектор 3 (шестицилиндровый двигатель цилиндр №4;  десятицилиндровый двигатель цилиндр №4 главный, цилиндр №9 подчинённый; двенадцатицилиндровый двигатель цилиндр №2 главный, цилиндр №11 подчинённый).","Обрыв (FMI4) или замыкание (FMI1) в цепи инжектора. Проверить провода и разъёмы, проверить инжекторы. При обрыве в цепи инжектора отключается только один инжектор, при замыкании в цепи отключаются все инжекторы затронутого блока."
656,"Банк2, инжектор 3 (шестицилиндровый двигатель цилиндр №4;   двенадцатицилиндровый двигатель цилиндр №2 главный, цилиндр №11 подчинённый).","Обрыв (FMI4) или замыкание (FMI1) в цепи инжектора. Проверить провода и разъёмы, проверить инжекторы. При обрыве в цепи инжектора отключается только один инжектор, при замыкании в цепи отключаются все инжекторы затронутого блока."
959,Время и дата (неверное значение секунд).,FFR посылает неверное значение. Индикация времени в секундах отсутствует.
960,Время и дата (неверное значение минут).,FFR посылает неверное значение. Индикация времени в минутах отсутствует.
961,Время и дата (неверное значение часов).,FFR посылает неверное значение. Индикация времени в часах отсутствует.
