code,description,steps
32,Состояние делителя.,"Приоритет 3. Индикация только при неподвижном автомобиле, только указание на неисправность, указание по действиям для ошибки не требуется. На неподвижном автомобиле горит сигнальная лампа STOP желтым цветом. Не удалось определить состояние делителя за установленное время измерения. Проверить цепь, контакты в разъёмах и точность показаний датчика частоты вращения на входе в коробку передач (В368). Проверить точность сигнала вращения при помощи ПК. Проверить сопротивление: со стороны FFR между контактами Х3/12 (+) и Х1/3 (-) сопротивление должно соответствовать приблизительно 1,78 кОм, со стороны датчика сопротивление должно соответствовать приблизительно 1,05 кОм. Проверить напряжение между контактами блока FFR Х3/12 (+) и Х1/3 (-), напряжение должно равняться приблизительно 1 В. на холостом ходу. Примечание: см. SPN 770 и 771."
161,Скорость вращения на входе в коробку передач.,"Приоритет 3. Индикация только при неподвижном автомобиле, только указание на неисправность, указание по действиям для ошибки не требуется. На неподвижном автомобиле горит сигнальная лампа STOP желтым цветом. Неверный сигнал от датчика частоты вращения на входе в коробку передач (В368) Установлен статус ""сигнал недоступен"", невозможно определение состояние делителя, функция ""Comfort-Shift"" заблокирована. Проверить цепь, контакты в разъёмах и точность показаний датчика частоты вращения на входе в коробку передач (В368). Проверить точность сигнала вращения при помощи ПК. Проверить сопротивление: со стороны FFR между контактами Х3/12 (+) и Х1/3 (-) сопротивление должно соответствовать приблизительно 1,78 кОм, со стороны датчика сопротивление должно соответствовать приблизительно 1,05 кОм. Проверить напряжение между контактами блока FFR Х3/12 (+) и Х1/3 (-), напряжение должно равняться приблизительно 1 В. на холостом ходу."
168,Напряжение питания аккумуляторов.,"Приоритет 3. Индикация только при неподвижном автомобиле, только указание на неисправность, указание по действиям для ошибки не требуется. На неподвижном автомобиле горит сигнальная лампа STOP желтым цветом. Рабочее напряжение больше чем 32 В. Проверить точность сигнала при помощи ПК, проверить проводку, контакты в разъёмах, генератор и аккумуляторы. Проверить напряжение на контактах блока FFR Х1/2, Х1/1 (+), Х1/3 (-), напряжение должно находится в пределах между 20 и 28 В. Если напряжение, измеренное на разъёмах блока FFR в норме, заменить блок FFR."
168,Напряжение питания аккумуляторов.,"Приоритет 3. Индикация только при неподвижном автомобиле, только указание на неисправность, указание по действиям для ошибки не требуется. На неподвижном автомобиле горит сигнальная лампа STOP желтым цветом. Рабочее напряжение меньше чем 16 В. Проверить точность сигнала при помощи ПК, проверить проводку, контакты в разъёмах, генератор и аккумуляторы. Проверить напряжение на контактах блока FFR Х1/2, Х1/1 (+), Х1/3 (-), напряжение должно находится в пределах между 20 и 28 В. Если напряжение, измеренное на разъёмах блока FFR в норме, заменить блок FFR."
572,Вспомогательное  устройство включения тормоза-замедлителя (ретардера). ,"Приоритет 5: Индикация во время остановки и во время движения автомобиля. Сигнальная лампа STOP горит желтым цветом и во время движения и во время остановки или стоянки. Неисправна проводка линии передачи данных от сенсорного переключателя управления тормозом-замедлителем. Переключатель перестаёт функционировать. Включенный тормоз замедлитель деактивируется нажатием на педаль акселератора. Проверить точность сигнала при помощи ПК, проверить проводку, контакты в разъёмах, сенсорный переключатель тормоза-замедлителя. Проверить сопротивление линии передачи данных от сенсорного переключателя, между контактами блока FFR Х2/10 (+) и Х1/3 (-) на стороне блока FFR приблизительно 1,5 МОм, на стороне автомобиля приблизительно 1,6 МОм. Проверить сопротивление провода синхронизации сенсорного переключателя ретардера, между контактами блока FFR Х2/6 (+) и Х 1/3 (-) на стороне блока FFR приблизительно 1,7МОм, на стороне автомобиля приблизительно 1,2 МОм. Проверить напряжение линии передачи данных от сенсорного переключателя, между контактами блока FFR Х2/10 (+) и Х1/3 (-), перемычка (испытательный блок) закрыта: приблизительно 14,2 В., перемычка (испытательный блок) открыта: на стороне блока FFR приблизительно 23,5 В, на стороне автомобиля приблизительно 14 В. Проверить напряжение провода синхронизации сенсорного переключателя ретардера, между контактами блока FFR Х2/6 (+) и Х 1/3 (-) перемычка (испытательный блок) закрыта: приблизительно 12,3 В., перемычка (испытательный блок) открыта: на стороне блока FFR приблизительно 13,5 В., на стороне автомобиля приблизительно 22,5 В."
697,"Педаль акселератора, сигнал PWM1 (сигнал широтно-импульсной модуляции).","Приоритет 2: Неисправность, требующая устранения в сервисном центре. Сигнальная лампа STOP горит постоянно красным цветом. Отсутствует или неверный сигнал PWM1 педали акселератора (А410). Для идентификации положения педали акселератора используется сигнал PWM2. Частота вращения двигателя и крутящий момент ограничиваются (1800 об/мин и ограничение на 80%). Проверить точность сигнала PWM1 при помощи ПК, проверить проводку, контакты в разъёмах. Выполнить измерение при помощи портативного осциллографа Fluke ScopeMeter 123 или аналогичного устройства (частота 200 Гц). Проверить напряжение на блоке FFR между контактами Х2/11 (+) и Х1/3 (-): перемычка (испытательный блок) закрыта, сигнал Low: (педаль акселератора полностью нажата) приблизительно 8 В., сигнал HIGH: приблизительно 20 В.; перемычка (испытательный блок) открыта: на стороне блока FFR приблизительно 25,4 В., со стороны автомобиля приблизительно 0,5 В. Если неисправность не найдена, попробуйте выполнить повторную калибровку педали акселератора. Если падение напряжения при включенном зажигании на PWM1 (А410/pin5) и питания на PWM2 (А410/pin6) составляет более чем 100 мс, регистрируется код неисправности."
698,"Педаль акселератора, сигнал PWM2 (сигнал широтно-импульсной модуляции).","Приоритет 2: Неисправность, требующая устранения в сервисном центре. Сигнальная лампа STOP горит постоянно красным цветом. Отсутствует или неверный сигнал PWM2 педали акселератора (А410). Для идентификации положения педали акселератора используется сигнал PWM1. Частота вращения двигателя и крутящий момент ограничиваются (1800 об/мин и ограничение на 80%). Проверить точность сигнала PWM2 при помощи ПК, проверить проводку, контакты в разъёмах. Выполнить измерение при помощи портативного осциллографа Fluke ScopeMeter 123 или аналогичного устройства (частота 200 Гц). Проверить напряжение на блоке FFR между контактами Х2/18 (+) и Х1/3 (-): перемычка (испытательный блок) закрыта, сигнал Low: приблизительно 8 В., сигнал HIGH (педаль акселератора полностью нажата): приблизительно 20 В.; перемычка (испытательный блок) открыта: на стороне блока FFR приблизительно 25,5 В., со стороны автомобиля приблизительно 0 В. Если неисправность не найдена, попробуйте выполнить повторную калибровку педали акселератора. Если падение напряжения при включенном зажигании на PWM1 (А410/pin5) и питания на PWM2 (А410/pin6) составляет более чем 100 мс, регистрируется код неисправности."
770,Раздельный H.,"Приоритет 5: Индикация во время остановки и во время движения автомобиля. Сигнальная лампа STOP горит желтым цветом и во время движения и во время остановки или стоянки. Обнаружена неисправность в проводке электромагнитного клапана SPLIT-HIGH (Y307). Неисправность записывается в регистратор неисправностей в случае если неисправность регистрируется в течении трёх циклов измерения (500мс). Клапан делителя перестаёт управляться. При помощи ПК выполнить тестирование элементов ""SPLIT-HIGH"" и ""SPLIT-LOW"". Проверить сопротивление между контактами Х3/13 (+) и Х4/6 (-): на стороне блока FFR приблизительно 6 кОм, на стороне автомобиля приблизительно 83,3 Ом. Проверить сопротивление между контактами Х3/13 (+) и Х1/3 (-): на стороне блока FFR приблизительно 4,3 кОм, на стороне автомобиля ---. Проверить напряжение между контактами блока FFR {3/13 (+) и Х4/6 (-): при активированном электромагнитном клапане приблизительно 27,6 В. при деактивированном клапане приблизительно 0 В. "
771,Раздельный L.,"Приоритет 5: Индикация во время остановки и во время движения автомобиля. Сигнальная лампа STOP горит желтым цветом и во время движения и во время остановки или стоянки. Обнаружена неисправность в проводке электромагнитного клапана SPLIT-LOW (Y307). Неисправность записывается в регистратор неисправностей в случае если неисправность регистрируется в течении трёх циклов измерения (500мс). Клапан делителя перестаёт управляться. При помощи ПК выполнить тестирование элементов ""SPLIT-HIGH"" и ""SPLIT-LOW"". Проверить сопротивление между контактами Х4/7 (+) и Х4/6 (-): на стороне блока FFR приблизительно 6 кОм, на стороне автомобиля приблизительно 84,6 Ом. Проверить сопротивление между контактами Х4/7 (+) и Х1/3 (-): на стороне блока FFR приблизительно 4,3 кОм, на стороне автомобиля ---. Проверить напряжение между контактами блока FFR {4/7 (+) и Х4/6 (-): при активированном электромагнитном клапане приблизительно 27,6 В. при деактивированном клапане приблизительно 0 В. "
898,Группа резисторов ограничения максимальной скорости.,"Приоритет 5: Индикация во время остановки и во время движения автомобиля. Сигнальная лампа STOP горит желтым цветом и во время движения и во время остановки или стоянки. Неверный сигнал от группы резисторов (R134). Ступень HGB (ограничение максимальной скорости) остаётся активизированной. После следующего включения выбирается ступень RGB0 (активируется ограничение максимальной скорости 1). При помощи ПК проверить точность сигнала, проверить проводку, контакты в разъёмах, проверить интерфейс кузова Х1996, проверить группу резисторов (R134). Проверить сопротивление между контактами Х2/6 (+) и Х1/3 (-) на стороне блока FFR приблизительно 6,5 кОм, на стороне автомобиля приблизительно 0,511 кОм. Проверить сопротивление группы резисторов (R134): между контактами 5 и 7/6 приблизительно 3,09 кОм, между контактами 5 и 3/4приблизительно 1,37 кОм, между контактами 5 и 2/8 приблизительно 0,51 кОм, между контактами 5 и 1/9 приблизительно 8,2 кОм. Проверить напряжение между контактами блока FFR: Х2/6 (+) и Х1/3 (-) приблизительно 460 мВ."
