code,description,steps
00168,Напряжение аккумуляторной батареи,"Статус диагностики: FMI 1, слишком высокое

Приоритетность: 3

Индикация при неподвижном автомобиле, только указание на неисправность; указание по действиям для неисправности не требуется.

Причина: рабочее напряжение слишком высокое (> 32 В).

Устранение: с помощью текущего контроля MAN-cats® II проверьте достоверность

сигнала, проверьте генератор, провода, штекерные соединения, аккумуляторные батареи.

Этапы проверки:

Проведение текущего контроля

С помощью MAN-cats® II проверьте достоверность сигналов «Клемма 30» и «Клемма 15» (двигатель работает, номинальное значение 20–28 В). Если эти значения правильные, измерьте напряжение.

Измерьте напряжение:

замер напряжения непосредственно на контактах блока управления VS/3 (клемма 15), VS/6 (клемма 30) и VS/1 (-). Номинальное значение 20–28 В. Если измеренные (на разъеме блока управления) значения находятся в номинальном диапазоне и, несмотря на это, активна неисправность, замените Power Train Manager (A1124)."
00168,Напряжение аккумуляторной батареи,"Статус диагностики: FMI 2, слишком низкое

Приоритетность: 3

Индикация при неподвижном автомобиле, только указание на неисправность; указание по действиям для неисправности не требуется.

Причина: рабочее напряжение слишком низкое (< 16 В).

Устранение: с помощью текущего контроля MAN-cats® II проверьте достоверность

сигнала, проверьте предохранители блока управления движением автомобиля, клеммы

15 (F1027) и клеммы 30 (F1026), проверьте провода, штекерные соединения, функцию замка рулевого колеса (Q101), аккумуляторные батареи, генератор.

Этапы проверки:

Проведение текущего контроля

С помощью MAN-cats® II проверьте достоверность сигналов «Клемма 30» и «Клемма 15» (номинальное значение 20–28 В). Если эти значения правильные, измерьте напряжение. Измерьте напряжение:

замер напряжения непосредственно на контактах блока управления VS/3 (клемма 15),

VS/6 (клемма 30) и VS/1 (-). Номинальное значение 20–28 В. Если измеренные (на разъеме блока управления) значения находятся в номинальном диапазоне и, несмотря на это, активна неисправность, замените Power Train Manager (A1124)."
05001,Ход педали в процентах,"Краткое описание: этот сигнал показывает ход педали акселератора в процентах, лежащий между точкой „Не нажата“ и точкой „Полностью нажата“ 0–100 %, при первом появлении ошибки. Устранение ошибки не требуется, так как это условие окружающей среды."
05002,Включенная передача,"Краткое описание: этот сигнал показывает включенную передачу при первом возникновении ошибки. Устранение ошибки не требуется, так как это условие окружающей среды."
05003,Температура охлаждающей жидкости,"Краткое описание: этот сигнал показывает температуру ОЖ при первом возникновении ошибки. Устранение ошибки не требуется, так как это условие окружающей среды."
05012,"Напряжение, клемма 30","Краткое описание: этот сигнал показывает напряжение на клемме 30 при первом возникновении ошибки. Устранение ошибки не требуется, так как это условие окружающей среды."
05013,Скорость автомобиля TCO,"Краткое описание: этот сигнал показывает скорость автомобиля, полученную тахографом при первом возникновении ошибки. Устранение ошибки не требуется, так как это условие окружающей среды."
05014,Время с момента вкл. зажигания,"Краткое описание: этот сигнал показывает длительность включенного зажигания при первом возникновении ошибки. Устранение ошибки не требуется, так как это условие окружающей среды."
05015,Скорость автомобиля на передней оси,"Краткое описание: этот сигнал показывает скорость автомобиля на передней оси при первом возникновении ошибки. Устранение ошибки не требуется, так как это условие окружающей среды."
05500,Тайм-аут сообщения шины CAN EDC1,"Краткое описание: EDC1 – это название сообщения, которое поступает от блока управления электронной системы управления дизельным двигателем (A435) и содержит в том числе сигналы о статусе, виде и режиме работы EDC, частоте вращения вала двигателя и крутящем моменте двигателя.

Статус диагностики: FMI 4, отсутствует сигнал.

Приоритетность: 2

Возможно, неисправность, требующая устранения в сервисном центре! Указание на неисправность."
05501,Тайм-аут сообщения шины CAN EDC2,"Краткое описание: EDC2 – это название сообщения, которое поступает от блока управления электронной системы управления дизельным двигателем (A435) и содержит в том числе сигналы об ограничении максимальной частоты вращения/момента и регулировании частоты вращения на холостом ходу.

Статус диагностики: FMI 4, отсутствует сигнал.

Приоритетность: 5

Индикация во время движения и остановки автомобиля; только указание на неисправность."
05502,Тайм-аут сообщения шины CAN EDC3,"Краткое описание: EDC3 – это название сообщения, которое поступает от блока управления электронной системы управления дизельным двигателем (A435) и содержит в том числе сигналы об ограничении максимального крутящего момента и давлении подачи топлива в двигатель.

Статус диагностики: FMI 4, отсутствует сигнал.

Приоритетность: 5

Индикация во время движения и остановки автомобиля; только указание на неисправность."
05503,Тайм-аут сообщения шины CAN EDC4,"Краткое описание: EDC4 – это название сообщения, которое поступает от блока управления электронной системы управления дизельным двигателем (A435) и содержит в том числе сигналы о воздушном фильтре и давлении наддува.

Статус диагностики: FMI 4, отсутствует сигнал.

Приоритетность: 5

Индикация во время движения и остановки автомобиля; только указание на неисправность."
05504,Тайм-аут сообщения шины CAN EDC5,"Краткое описание: EDC5 – это название сообщения, которое поступает от блока управления электронной системы управления дизельным двигателем (A435) и содержит в том числе сигналы о температуре ОЖ двигателя, температуре топлива, давлении воздуха и температуре ОГ.

Статус диагностики: FMI 4, отсутствует сигнал.

Приоритетность: 5

Индикация во время движения и остановки автомобиля; только указание на неисправность."
05505,Timeout engine conguration,"Краткое описание: сообщение „Конфигурация двигателя“ поступает от блока управления электронной системы управления дизельным двигателем (A435).

Статус диагностики: FMI 4, отсутствует сигнал.

Приоритетность: 5

Индикация во время движения и остановки автомобиля; только указание на неисправность."
05507,Timeout ACC1,"Краткое описание: сообщение поступает с блока управления ACC (A479).

Статус диагностики: FMI 4, отсутствует сигнал.

Приоритетность: 5

Индикация во время движения и остановки автомобиля; только указание на неисправность."
05508,Timeout AIR1supplyPressure,"Краткое описание: сообщение поступает с блока управления ECAM (A409).

Статус диагностики: FMI 4, отсутствует сигнал.

Приоритетность: 5

Индикация во время движения и остановки автомобиля; только указание на неисправность."
05509,Timeout EBC1,"Краткое описание: EBC1 – это название сообщения, которое посылается блоком управления системой EBS (A402) и содержит сигналы о педали тормоза и о состояниях систем ABS и ASR.

Статус диагностики: FMI 4, отсутствует сигнал.

Приоритетность: 5

Индикация во время движения и остановки автомобиля; только указание на неисправность."
05510,Timeout EBC2,"Краткое описание: EBC2 – это название сообщения, которое поступает от блока управления системой EBS (A402) и дает информацию о числе оборотов колеса на передней/задней оси.

Статус диагностики: FMI 4, отсутствует сигнал.

Приоритетность: 5

Индикация во время движения и остановки автомобиля; только указание на неисправность."
05511,Timeout EBC3,"Краткое описание: EBC3 – это название сообщения, которое поступает от блока управления системой EBS (A402) и дает информацию о давлении торможения на передней/задней оси.

Статус диагностики: FMI 4, отсутствует сигнал.

Приоритетность: 4

Нет индикации."
05513,Timeout engine uids,"Краткое описание: сообщение „Моторные жидкости“ поступает с блока управления электронной системы управления дизельным двигателем (A435).

Статус диагностики: FMI 4, отсутствует сигнал.

Приоритетность: 5

Индикация во время движения и остановки автомобиля; только указание на неисправность."
05521,Timeout retarder conguration RD,"Краткое описание: сообщение „Конфигурация вторичного ретардера“ поступает от вторичного ретардера.

Статус диагностики: FMI 4, отсутствует сигнал.

Приоритетность: 5

Индикация во время движения и остановки автомобиля; только указание на неисправность."
05522,Timeout retarder conguration RE,"Краткое описание: сообщение „Конфигурация первичного ретардера“ поступает от первичного ретардера.

Статус диагностики: FMI 4, отсутствует сигнал.

Приоритетность: 5

Индикация во время движения и остановки автомобиля; только указание на неисправность."
05523,Timeout retarder uids RD,"Краткое описание: сообщение „Масло вторичного ретардера“ поступает от вторичного ретардера.

Статус диагностики: FMI 4, отсутствует сигнал.

Приоритетность: 5

Индикация во время движения и остановки автомобиля; только указание на неисправность."
05524,Timeout retarder uids RE,"Краткое описание: сообщение „Масло первичного ретардера“ поступает от первичного ретардера.

Статус диагностики: FMI 4, отсутствует сигнал.

Приоритетность: 5

Индикация во время движения и остановки автомобиля; только указание на неисправность."
05531,Timeout TSC1ACC2ENG,"Краткое описание: сообщение поступает с блока управления электронной тормозной системы (A402).

Статус диагностики: FMI 4, отсутствует сигнал.

Приоритетность: 5

Индикация во время движения и остановки автомобиля; только указание на неисправность."
