code,description,steps
00627,"Электропитание, клемма 30","Состояние неисправности: FMI 1, слишком высоко.

Индикация неисправности: Индикатор неисправности мигает красным.

Реакция на неисправность: RAS-EC отключается.

Причина неисправности:

Перенапряжение из-за зарядного устройства

Электропитание от внешнего источника напряжения

Генератор неисправен.

Устранение неисправности: Проверьте питающее напряжение клеммы 30, с помощью ПК проверьте достоверность сигнала, проверьте предохранитель F540 (5 А), проверьте провода, проверьте штекерные соединения, проверьте генератор (с помощью тестера GP10 для генератора).

Контрольные этапы:

Проведение текущего контроля:

С помощью ПК проверьте достоверность сигнала «Питающее напряжение». Номинальное значение UBat.

Измерение напряжения:

Блок управления RAS-EC между Pin 23 (+) или Pin 68 (+) и Pin 1 (-) или Pin 46 (-). Номинальное значение UBat."
00627,"Электропитание, клемма 30","Состояние неисправности: FMI 2, слишком низко.

Индикация неисправности: индикатор неисправности мигает красным.

Реакция на неисправность: RAS-EC отключается.

Причина неисправности: пониженное напряжение.

Устранение неисправности: проверьте питающее напряжение клеммы 30, проверьте аккумуляторные батареи, с помощью ПКI проверьте достоверность сигнала, проверьте предохранитель F540 (5 А), проверьте провода, проверьте штекерные соединения.

Этапы проверки:

Проведение текущего контроля:

С помощью ПК проверьте достоверность сигнала «Питающее напряжение». Номинальное значение UBat.

Измерение напряжения:

Блок управления RAS-EC между Pin 23 (+) или Pin 68 (+) и Pin 1 (-) или Pin 46 (-). Номинальное значение UBat."
00627,"Электропитание, клемма 30","Состояние неисправности: FMI 3, не идентифицируется.

Индикация неисправности: индикатор неисправности мигает красным.

Реакция на неисправность: RAS-EC отключается.

Причина неисправности: прерывание сигнала зажигания (клемма 15) во время поездки.

Устранение неисправности: проверьте предохранитель F540 (5 А), с помощью ПК проверьте достоверность сигнала, проверьте провода, проверьте штекерные соединения.

Этапы проверки:

Проведение текущего контроля:

С помощью ПК проверьте достоверность сигнала «Питающее напряжение». Номинальное значение UBat.

Измерение напряжения:

Блок управления RAS-EC между Pin 23 (+) или Pin 68 (+) и Pin 1 (-) или Pin 46 (-). Номинальное значение UBat."
00627,"Электропитание, клемма 30","Состояние неисправности: FMI 10, разрыв.

Индикация неисправности: индикатор неисправности мигает красным.

Реакция на неисправность: RAS-EC отключается.

Причина неисправности: отсутствует напряжение на клемме 30, или внутреннее опорное напряжение слишком низкое.

Устранение неисправности: проверьте питающее напряжение клеммы 30, с помощью ПК проверьте достоверность сигнала, проверьте провода, проверьте штекерные соединения, проверьте предохранитель F540 (5 А), проверьте провода, проверьте штекерные соединения.

Этапы проверки:

Проведение текущего контроля:

С помощью ПК проверьте достоверность сигнала «Питающее напряжение». Номинальное значение UBat.

Измерение напряжения:

Блок управления RAS-EC между Pin 23 (+) или Pin 68 (+) и Pin 1 (-) или Pin 46 (-). Номинальное значение UBat.

Измерьте опорное напряжение между Pin 37 (+) и Pin 24 (-). Номинальное значение 5 В ± 0,3."
5001,Контроль уровня масла,"Состояние неисправности: FMI 2, слишком низко.

Индикация неисправности: индикатор неисправности горит красным.

Реакция на неисправность: нет.

Причина неисправности:

Уровень масла недостаточный

Выключатель (B432) емкости для масла усилителя рулевого управления неисправен

Разрыв проводов.

Устранение неисправности: проверьте уровень масла, с помощью ПК проверьте достоверность сигнала, проверьте выключатель (B432) емкости для масла усилителя рулевого управления, проверьте провода, проверьте штекерные соединения.

Этапы проверки:

Проведение текущего контроля:

С помощью ПК проверьте достоверность сигнала «Уровень масла».

Измерение сопротивления:

Блок управления RAS-EC между Pin 19 и Pin 1 (-) или Pin 46 (-). Номинальное значение 0 Ом"
5002,Датчик угла поворота переднего моста,"Состояние неисправности: FMI 1, слишком высоко.

Индикация неисправности: индикатор неисправности горит красным.

Реакция на неисправность: выполняется центрирование RAS-EC.

Причина неисправности: напряжение датчика превышает предельное значение.

Датчик (B 283) угла поворота переднего моста находится слишком близко к упору (датчик находится слишком близко к конечному диапазону)

Сенсорное управление (захват) не установлено или прервано

Разрыв провода массы (182)

Короткое замыкание напряжения датчика на UBat

Короткое замыкание обоих напряжений сигналов датчиков по отношению друг к другу

Датчик неисправен.

Устранение неисправности: с помощью ПК проверьте достоверность сигнала, проверьте электропитание датчика угла поворота, проверьте датчик угла поворота, положение датчика, настройку датчика и настройку моста, проверьте сенсорное управление (захват).

Этапы проверки:

Проведение текущего контроля:

С помощью ПК проверьте достоверность сигналов «Датчик угла поворота + передний мост» и «Датчик угла поворота - передний мост».

Измерение напряжения:

Блок управления RAS-EC между Pin 38 (напряжение датчика Ua1) или Pin 61 (напряжение датчика Ua2) и Pin 24 (-)."
5002,Датчик угла поворота переднего моста,"Состояние неисправности: FMI 2, слишком низко.

Индикация неисправности: индикатор неисправности горит красным.

Реакция на неисправность: выполняется центрирование RAS-EC.

Причина неисправности: напряжение датчика не достигает предельного значения.

Датчик (B 283) угла поворота переднего моста находится слишком близко к упору (датчик находится слишком близко к конечному диапазону)

Сенсорное управление (захват) не установлено или прервано

Разрыв провода массы (182)

Короткое замыкание напряжения датчика на UBat

Короткое замыкание обоих напряжений сигналов датчиков по отношению друг к другу

Датчик неисправен.

Устранение неисправности: с помощью ПК проверьте достоверность сигнала, проверьте электропитание датчика угла поворота, проверьте датчик угла поворота, положение датчика, настройку датчика и настройку моста, проверьте сенсорное управление (захват).

Этапы проверки:

Проведение текущего контроля:

С помощью ПК проверьте достоверность сигналов «Датчик угла поворота + передний мост» и «Датчик угла поворота - передний мост».

Измерение напряжения:

Блок управления RAS-EC между Pin 38 (напряжение датчика Ua1) или Pin 61 (напряжение датчика Ua2) и Pin 24 (-)."
5002,Датчик угла поворота переднего моста,"Состояние неисправности: FMI 3, не идентифицируется.

Индикация неисправности: индикатор неисправности горит красным.

Реакция на неисправность: выполняется центрирование RAS-EC.

Причина неисправности: напряжения датчиков относительно друг друга недостоверны.

Датчик (B 283) угла поворота переднего моста находится слишком близко к упору (датчик находится слишком близко к конечному диапазону)

Сенсорное управление (захват) не установлено или прервано

Разрыв провода массы (182)

Короткое замыкание напряжения датчика на UBat

Короткое замыкание обоих напряжений сигналов датчиков по отношению друг к другу

Датчик неисправен.

Устранение неисправности: с помощью ПК проверьте достоверность сигнала, проверьте электропитание датчика угла поворота, проверьте датчик угла поворота, положение датчика, настройку датчика и настройку моста, проверьте сенсорное управление (захват).

Этапы проверки:

Проведение текущего контроля:

С помощью ПК проверьте достоверность сигналов «Датчик угла поворота + передний мост» и «Датчик угла поворота - передний мост».

Измерение напряжения:

Блок управления RAS-EC между Pin 38 (напряжение датчика Ua1) или Pin 61 (напряжение датчика Ua2) и Pin 24 (-)."
5003,Датчик угла поворота управляемого заднего моста,"Состояние неисправности: FMI 1, слишком высоко.

Индикация неисправности: индикатор неисправности мигает красным.

Реакция на неисправность: RAS-EC отключается.

Причина неисправности: напряжение датчика превышает предельное значение.

Датчик (B 284) угла поворота управляемого заднего моста находится слишком близко к упору (датчик находится слишком близко к конечному диапазону)

Сенсорное управление (захват) не установлено или прервано

Разрыв провода массы (182)

Короткое замыкание напряжения датчика на UBat

Короткое замыкание обоих напряжений сигналов датчиков по отношению друг к другу

Датчик неисправен.

Устранение неисправности: с помощью ПК проверьте достоверность сигнала, проверьте электропитание датчика угла поворота, проверьте датчик угла поворота, положение датчика, настройку датчика и настройку моста, проверьте сенсорное управление (захват).

Этапы проверки:

Проведение текущего контроля:

С помощью ПК проверьте достоверность сигналов «Датчик угла поворота + задний мост» и «Датчик угла поворота - задний мост».

Измерение напряжения:

Блок управления RAS-EC между Pin 49 (напряжение датчика Ua1) или Pin 39 (напряжение датчика Ua2) и Pin 24 (-)."
5003,Датчик угла поворота управляемого заднего моста,"Состояние неисправности: FMI 2, слишком низко.

Индикация неисправности: индикатор неисправности мигает красным.

Реакция на неисправность: RAS-EC отключается.

Причина неисправности: напряжение датчика не достигает предельного значения.

Датчик (B 284) угла поворота управляемого заднего моста находится слишком близко к упору (датчик находится слишком близко к конечному диапазону)

Сенсорное управление (захват) не установлено или прервано

Разрыв провода массы (182)

Короткое замыкание напряжения датчика на UBat

Короткое замыкание обоих напряжений сигналов датчиков по отношению друг к другу

Датчик неисправен.

Устранение неисправности: с помощью ПК проверьте достоверность сигнала, проверьте электропитание датчика угла поворота, проверьте датчик угла поворота, положение датчика, настройку датчика и настройку моста, проверьте сенсорное управление (захват).

Этапы проверки:

Проведение текущего контроля:

С помощью ПК проверьте достоверность сигналов «Датчик угла поворота + задний мост» и «Датчик угла поворота - задний мост».

Измерение напряжения:

Блок управления RAS-EC между Pin 49 (напряжение датчика Ua1) или Pin 39 (напряжение датчика Ua2) и Pin 24 (-)."
