code,description,steps
158,Зажигание выключено,"Стратегия текущего контроля: контроль сигнала на достоверность

Приоритетность неисправности: 4

Описание неисправности: эта неисправность индицируется, если ""включение зажигания"" не опознается во время инициализации (FMI 3)

Устранение: Проверьте или отремонтируйте кабельное соединение"
168,Напряжение аккумуляторной батареи,"Стратегия текущего контроля: контроль предельных значений напряжения на слишком высокую и слишком низкую величину

Приоритетность неисправности: 5

Регистратор неисправностей OBD: P0562, P0563, P2BA8 (длительная неисправность)

Примечание: длительные неисправности не могут быть удалены. После устранения неисправности запись в регистраторе неисправностей сохраняется в течение 400 дней, или 9600 часов работы

Описание неисправности: напряжение аккумуляторной батареи слишком высокое (FMI 1) или слишком низкое (FMI 2)

Реакция системы: система отключается до следующего пуска (кл. 15 вкл.)

Устранение: проверьте питающее напряжение в автомобиле. Если напряжение нормальное, то замените подающий модуль

Примечание: перед каждой заменой подающего модуля следует считывать ""Диагностическую память автомобиля в целом"" с помощью ПК перед очисткой регистратора неисправностей"
1079,Электропитание датчика бака,"Стратегия текущего контроля: проверка электропитания датчика бака

Приоритетность неисправности: 4

Описание неисправности: короткое замыкание на +Ubat → сигнал слишком высокий (FMI 12) или короткое замыкание на массу → сигнал слишком низкий (FMI 5), неисправность прибора (FMI 9)

Реакция системы: система отключается до следующего пуска (кл. 15)

Устранение: проверьте или отремонтируйте кабельное соединение, замените датчик"
1080,Электропитание датчиков давления,"Стратегия текущего контроля: проверка электропитания датчиков давления внутри подающего модуля

Приоритетность неисправности: 5

Регистратор неисправностей OBD: P0561, P0562, P0563, P2BA8 (длительная неисправность)

Примечание: длительные неисправности не могут быть удалены. После устранения неисправности запись в регистраторе неисправностей сохраняется в течение 400 дней, или 9600 часов работы

Описание неисправности: короткое замыкание на +Ubat → сигнал слишком высокий (FMI 12) или короткое замыкание на массу → сигнал слишком низкий (FMI 5), неисправность прибора (FMI 9)

Реакция системы: в случае неисправности дозирование AdBlue не выполняется. Система отключается до следующего пуска (кл. 15 вкл.)

Устранение: проверьте питающее напряжение в автомобиле. Если напряжение нормальное или неисправность не может быть установлена, то замените подающий модуль

Примечание: перед каждой заменой подающего модуля следует считывать ""Диагностическую память автомобиля в целом"" с помощью ПК перед очисткой регистратора неисправностей"
1485,Главное реле,"Стратегия текущего контроля: контроль слишком раннего или слишком позднего отключения главного реле

Приоритетность неисправности: 3

Регистратор неисправностей OBD: P068A, P068B

Описание неисправности: реле в подающем модуле открывается перед ""выключением зажигания"" или до завершения инерционной фазы (FMI 2), либо реле не открывается, хотя зажигание выключено (FMI 1)

Возможные причины неисправности:

– Электропитание подающего модуля прервано (+Ubat, масса)

– Прерыватель аккумуляторной батареи включен

– Главное реле внутри подающего модуля неисправно

Устранение: проверьте питающее напряжение в автомобиле. Если напряжение нормальное или неисправность не может быть установлена, то замените подающий модуль

Примечание: перед каждой заменой подающего модуля следует считывать ""Диагностическую память автомобиля в целом"" с помощью ПК перед очисткой регистратора неисправностей"
1542,Электропитание дозировочного модуля,"Стратегия текущего контроля: контроль предельных значений напряжения на слишком высокую и слишком низкую величину

Приоритетность неисправности: 5

Регистратор неисправностей OBD: P0658, P0659, P2BA8 (длительная неисправность)

Примечание: длительные неисправности не могут быть удалены. После устранения неисправности запись в регистраторе неисправностей сохраняется в течение 400 дней, или 9600 часов работы

Описание неисправности: короткое замыкание на массу → напряжение слишком низкое (FMI 5) или короткое замыкание по Ubat → напряжение слишком высокое (FMI 6)

Примечание: дозировочный модуль работает с питающим напряжением 12 В

Реакция системы: В случае неисправности не выполняется дозирование AdBlue

Устранение: проверьте кабельное соединение, измерьте напряжение на дозировочном модуле при включенном зажигании (номинальное значение 12В). Если напряжение нормальное или неисправность не может быть установлена, то замените подающий модуль

Примечание: перед каждой заменой подающего модуля следует считывать ""Диагностическую память автомобиля в целом"" с помощью ПК перед очисткой регистратора неисправностей"
1761,Датчик уровня заполнения бака AdBlue,"Стратегия текущего контроля: проверка датчика уровня заполнения

Приоритетность неисправности: 5

Регистратор неисправностей OBD: P203B, P2BA8 (длительная неисправность)

Примечание: длительные неисправности не могут быть удалены. После устранения неисправности запись в регистраторе неисправностей сохраняется в течение 400 дней, или 9600 часов работы

Описание неисправности: обрыв, отсутствует сигнал CAN (FMI 4), сигнал CAN недостоверный (FMI 3), ошибочный сигнал → бак пуст (FMI 8)

Устранение: проверьте или отремонтируйте кабельное соединение, замените датчик"
3031,Датчик температуры в баке AdBlue,"Стратегия текущего контроля: проверка датчика температуры в баке AdBlue

Приоритетность неисправности: 3

Описание неисправности: обрыв, отсутствует сигнал (FMI 4), сигнал недостоверный (FMI 3), ошибочный сигнал (FMI 8)

Устранение: проверьте или отремонтируйте кабельное соединение, замените датчик"
3456,Уровень заполнения бака AdBlue (сигнальный порог),"Стратегия текущего контроля: контроль уровня заполнения бака AdBlue

Приоритетность неисправности: 5

Описание неисправности: уровень заполнения AdBlue в резервной области (FMI 2)

Устранение: долить AdBlue"
3457,Уровень заполнения бака AdBlue (бак пуст),"Стратегия текущего контроля: контроль уровня заполнения бака AdBlue

Приоритетность неисправности: 5

Регистратор неисправностей OBD: P203F, P2BA7 (длительная неисправность)

Примечание: длительные неисправности не могут быть удалены. После устранения неисправности запись в регистраторе неисправностей сохраняется в течение 400 дней, или 9600 часов работы

Описание неисправности: уровень AdBlue слишком низкий (FMI 2)

Реакция системы: уменьшение крутящего момента

Устранение: проверьте уровень заполнения бака. При замерзшем AdBlue возможно отображение неправильного значения. Если неисправность не может быть определена, замените датчик"
