code,description,steps
120,Определение температуры масла ретардера,"Определение температуры масла ретардера (датчик или электрическая цепь датчика, провода датчика друг против друга или скачок температуры)

Стратегия текущего контроля: Проверка на короткое замыкание на массу или на +Ubat, короткое замыкание проводов друг на друга, разрыв цепи или достоверность

Проверка на предмет неплотного контакта или достоверности скорости изменения температуры масла.

Возможные FMI: 0, 3, 5, 6, 7, 10

Приоритет ошибки: 5

Реакция системы: Невозможно определить температуру, возможные последствия: зависимое от температуры управление ретардером ограничено

Устранение: проверка штекерных соединений, кабелей и датчика"
177,Определение температуры масла КПП,"Определение температуры масла КПП (датчик или электрическая цепь датчика, провода датчика друг на друга или скачок температуры)

Стратегия текущего контроля: Проверка на короткое замыкание на массу или на +Ubat, короткое замыкание проводов друг на друга, разрыв цепи или достоверность

Проверка на предмет неплотного контакта или достоверности скорости изменения температуры масла.

Возможные FMI: 0, 3, 5, 6, 7, 10

Приоритет ошибки: 5

Реакция системы: Невозможно определить температуру, возможные последствия: большие усилия для переключений при холодном масле. Зависимое от температуры управление ретардером ограничено

Устранение: проверка штекерных соединений, кабелей и датчика"
190,Определение частоты вращения двигателя,"Неисправность цепи датчика частоты вращения распределительного или коленчатого вала (датчик или цепь датчика, отрицательный контакт датчика или цепи датчика, замыкание проводов датчика друг на друга)

Стратегия текущего контроля: Проверка на короткое замыкание на массу или на +Ubat, короткое замыкание проводов друг на друга, разрыв цепи или качество сигнала.

Возможные FMI: 0, 5, 6, 7, 8, 10

Приоритет ошибки: 2, при FMI 8 на 4

Реакция системы: Жесткие переключения. Отсутствие или ограниченность работы задней передачи. При одновременно неисправном датчике отбора мощности работа только в аварийном режиме. Отсутствие зависимого от частоты вращения двигателя ограничения крутящего момента. Ограниченное снижение крутящего момента двигателя. Характеристики дополнительных потребителей не учитываются. Частота вращения двигателя и зависимые от нее величины устанавливаются в коммуникации CAN неверно

Устранение: проверка штекерных соединений, кабелей и датчика"
191,Определение частоты вращения выходного вала КПП,"Неисправность цепи датчика частоты вращения выходного вала КПП (датчик или цепь датчика, отрицательный контакт датчика или цепи датчика, замыкание проводов датчика друг на друга)

Стратегия текущего контроля: Проверка на короткое замыкание на массу или на +Ubat, короткое замыкание проводов друг на друга, разрыв цепи или качество сигнала.

Возможные FMI: 0, 5, 6, 7, 8, 10

Приоритет ошибки: 2

Реакция системы: Ретардер не работает. Отсутствие или ограниченность работы задней передачи. ANS не работает. Движение только на первой передаче. Более высокие передачи только при очень высокой частоте вращения двигателя (функция защиты двигателя). Если имеется функция замены, при определенных обстоятельствах ошибка приводит только к ухудшению переключений и более жесткой активации ретардера. При одновременно неисправном датчике частоты вращения двигателя работа только в аварийном режиме.

Устранение: проверка штекерных соединений, кабелей и датчика. Проверьте монтажное положение датчика (отступ, положение допуска), проверьте датчик на закрепленность корректность работы, проверьте колесо датчику на повреждения"
959,"Сообщение: Время/дата, сигнал: секунды","Сообщение CAN, время/дата: Секунды недействительны. FFR посылает недействительное численное значение

Стратегия текущего контроля: проверка сообщения CAN

Возможные FMI: 8

Приоритет ошибки: 4

Реакция системы: Отсутствует индикация времени в секундах.

Устранение: проверьте сообщение CAN о времени/дате по шине CAN или сделайте его доступным"
960,"Сообщение: Время/дата, сигнал: минуты","Сообщение CAN, время/дата: Минуты недействительны. FFR посылает недействительное численное значение

Стратегия текущего контроля: проверка сообщения CAN

Возможные FMI: 8

Приоритет ошибки: 4

Реакция системы: Отсутствует индикация времени в минутах.

Устранение: проверьте сообщение CAN о времени/дате по шине CAN или сделайте его доступным"
961,"Сообщение: Время/дата, сигнал: часы","Сообщение CAN, время/дата: Часы недействительны. FFR посылает недействительное численное значение

Стратегия текущего контроля: проверка сообщения CAN

Возможные FMI: 8

Приоритет ошибки: 4

Реакция системы: Отсутствует индикация времени по часам.

Устранение: проверьте сообщение CAN о времени/дате по шине CAN или сделайте его доступным"
962,"Сообщение: Время/дата, сигнал: день","Сообщение CAN, время/дата: Дни недействительны. FFR посылает недействительное численное значение

Стратегия текущего контроля: проверка сообщения CAN

Возможные FMI: 8

Приоритет ошибки: 4

Реакция системы: Отсутствует индикация времени по дням.

Устранение: проверьте сообщение CAN о времени/дате по шине CAN или сделайте его доступным"
963,"Сообщение: Время/дата, сигнал: Месяц","Сообщение CAN, время/дата: Месяцы недействительны. FFR посылает недействительное численное значение

Стратегия текущего контроля: проверка сообщения CAN

Возможные FMI: 8

Приоритет ошибки: 4

Реакция системы: Отсутствует индикация времени по месяцам.

Устранение: проверьте сообщение CAN о времени/дате по шине CAN или сделайте его доступным"
964,"Сообщение: Время/дата, сигнал: год","Сообщение CAN, время/дата: Годы недействительны. FFR посылает недействительное численное значение

Стратегия текущего контроля: проверка сообщения CAN

Возможные FMI: 8

Приоритет ошибки: 4

Реакция системы: Отсутствует индикация времени по годам.

Устранение: проверьте сообщение CAN о времени/дате по шине CAN или сделайте его доступным"
