code,description,steps
5201,Короткое замыкание регулятора давления сцепления A,"Стратегия текущего контроля: проверка клапана пропорционального регулирования сцепления A

Приоритет ошибки: 2

Описание неисправности: Короткое замыкание на +Ubat (FMI 6)

Реакция системы: КПП переходит в нейтральную передачу.

Устранение: Проверьте кабели и штекерные соединения, при необходимости отремонтируйте, замените клапан пропорционального регулирования

Этапы контроля: измерение сопротивления штекера блока управления со стороны КПП (отсоединить штекер) между Pin 9 и Pin 20 и измерение сопротивления на штекере КПП (отсоединить штекер) между Pin 3 и Pin 13. Заданная величина: 10 - 15 Ом"
5202,Короткое замыкание регулятора давления сцепления B,"Стратегия текущего контроля: проверка клапана пропорционального регулирования сцепления B

Приоритет ошибки: 2

Описание неисправности: Короткое замыкание на +Ubat (FMI 6)

Реакция системы: КПП переходит в нейтральную передачу.

Устранение: Проверьте кабели и штекерные соединения, при необходимости отремонтируйте, замените клапан пропорционального регулирования

Этапы контроля: измерение сопротивления штекера блока управления со стороны КПП (отсоединить штекер) между Pin 9 и Pin 3 и измерение сопротивления на штекере КПП (отсоединить штекер) между Pin 3 и Pin 12. Заданная величина: 10 - 15 Ом"
5203,Короткое замыкание регулятора давления сцепления D,"Стратегия текущего контроля: проверка клапана пропорционального регулирования сцепления D

Приоритет ошибки: 2

Описание неисправности: Короткое замыкание на +Ubat (FMI 6)

Реакция системы: КПП переходит в нейтральную передачу.

Устранение: Проверьте кабели и штекерные соединения, при необходимости отремонтируйте, замените клапан пропорционального регулирования

Этапы контроля: измерение сопротивления штекера блока управления со стороны КПП (отсоединить штекер) между Pin 9 и Pin 4 и измерение сопротивления на штекере КПП (отсоединить штекер) между Pin 3 и Pin 22. Заданная величина: 10 - 15 Ом"
5204,Короткое замыкание регулятора давления сцепления E,"Стратегия текущего контроля: проверка клапана пропорционального регулирования сцепления E

Приоритет ошибки: 2

Описание неисправности: Короткое замыкание на +Ubat (FMI 6)

Реакция системы: КПП переходит в нейтральную передачу.

Устранение: Проверьте кабели и штекерные соединения, при необходимости отремонтируйте, замените клапан пропорционального регулирования

Этапы контроля: измерение сопротивления штекера блока управления со стороны КПП (отсоединить штекер) между Pin 9 и Pin 5 и измерение сопротивления на штекере КПП (отсоединить штекер) между Pin 3 и Pin 24. Заданная величина: 10 - 15 Ом"
5205,Короткое замыкание регулятора давления сцепления F,"Стратегия текущего контроля: проверка клапана пропорционального регулирования сцепления F

Приоритет ошибки: 2

Описание неисправности: Короткое замыкание на +Ubat (FMI 6)

Реакция системы: КПП переходит в нейтральную передачу.

Устранение: Проверьте кабели и штекерные соединения, при необходимости отремонтируйте, замените клапан пропорционального регулирования

Этапы контроля: измерение сопротивления штекера блока управления со стороны КПП (отсоединить штекер) между Pin 9 и Pin 24 и измерение сопротивления на штекере КПП (отсоединить штекер) между Pin 3 и Pin 19. Заданная величина: 10 - 15 Ом"
5206,Короткое замыкание регулятора давления сцепления для блокирования гидротрансформатора,"Стратегия текущего контроля: проверка клапана пропорционального регулирования сцепления для блокирования гидротрансформатора

Приоритет ошибки: 2

Описание неисправности: Короткое замыкание на +Ubat (FMI 6)

Реакция системы: КПП переходит в нейтральную передачу.

Устранение: Проверьте кабели и штекерные соединения, при необходимости отремонтируйте, замените клапан пропорционального регулирования

Этапы контроля: измерение сопротивления штекера блока управления со стороны КПП (отсоединить штекер) между Pin 9 и Pin 25 и измерение сопротивления на штекере КПП (отсоединить штекер) между Pin 3 и Pin 9. Заданная величина: 10 - 15 Ом"
5207,Короткое замыкание регулятора основного давления,"Стратегия текущего контроля: проверка клапана пропорционального регулирования основного давления

Приоритет ошибки: 2

Описание неисправности: Короткое замыкание на +Ubat (FMI 6)

Реакция системы: КПП переходит в нейтральную передачу.

Устранение: Проверьте кабели и штекерные соединения, при необходимости отремонтируйте, замените клапан пропорционального регулирования

Этапы контроля: измерение сопротивления штекера блока управления со стороны КПП (отсоединить штекер) между Pin 9 и Pin 16 и измерение сопротивления на штекере КПП (отсоединить штекер) между Pin 3 и Pin 10. Заданная величина: 10 - 15 Ом"
5208,Короткое замыкание регулятора давления ретардера,"Стратегия текущего контроля: проверка клапана пропорционального регулирования давления ретардера

Приоритет ошибки: 2

Описание неисправности: Короткое замыкание на +Ubat (FMI 6)

Реакция системы: КПП переходит в нейтральную передачу.

Устранение: Проверьте кабели и штекерные соединения, при необходимости отремонтируйте, замените клапан пропорционального регулирования

Этапы контроля: измерение сопротивления штекера блока управления со стороны КПП (отсоединить штекер) между Pin 9 и Pin 14 и измерение сопротивления на штекере КПП (отсоединить штекер) между Pin 3 и Pin 8. Заданная величина: 10 - 15 Ом"
5211,Электрическая неисправность регулятора давления сцепления A,"Стратегия текущего контроля: проверка клапана пропорционального регулирования сцепления A

Приоритет ошибки: 7

Описание неисправности: временная, нехарактерная электрическая неисправность в регуляторе давления A (FMI 0)

Реакция системы: КПП переходит в нейтральную передачу.

Примечание: ошибка появляется вместе с ошибками 5201, 5221 или 5231

Устранение: Проверьте кабели и штекерные соединения, при необходимости отремонтируйте, замените клапан пропорционального регулирования

Этапы контроля: измерение сопротивления штекера блока управления со стороны КПП (отсоединить штекер) между Pin 9 и Pin 20 и измерение сопротивления на штекере КПП (отсоединить штекер) между Pin 3 и Pin 13. Заданная величина: 10 - 15 Ом"
5212,Электрическая неисправность регулятора давления сцепления B,"Стратегия текущего контроля: проверка клапана пропорционального регулирования сцепления B

Приоритет ошибки: 7

Описание неисправности: временная, нехарактерная электрическая неисправность в регуляторе давления B (FMI 0)

Реакция системы: КПП переходит в нейтральную передачу.

Примечание: ошибка появляется вместе с ошибками 5202, 5222 или 5232

Устранение: Проверьте кабели и штекерные соединения, при необходимости отремонтируйте, замените клапан пропорционального регулирования

Этапы контроля: измерение сопротивления штекера блока управления со стороны КПП (отсоединить штекер) между Pin 9 и Pin 3 и измерение сопротивления на штекере КПП (отсоединить штекер) между Pin 3 и Pin 12. Заданная величина: 10 - 15 Ом"
5213,Электрическая неисправность регулятора давления сцепления D,"Стратегия текущего контроля: проверка клапана пропорционального регулирования сцепления D

Приоритет ошибки: 7

Описание неисправности: временная, нехарактерная электрическая неисправность в регуляторе давления D (FMI 0)

Реакция системы: КПП переходит в нейтральную передачу.

Примечание: ошибка появляется вместе с ошибками 5203, 5223 или 5233

Устранение: Проверьте кабели и штекерные соединения, при необходимости отремонтируйте, замените клапан пропорционального регулирования

Этапы контроля: измерение сопротивления штекера блока управления со стороны КПП (отсоединить штекер) между Pin 9 и Pin 4 и измерение сопротивления на штекере КПП (отсоединить штекер) между Pin 3 и Pin 22. Заданная величина: 10 - 15 Ом"
5214,Электрическая неисправность регулятора давления сцепления E,"Стратегия текущего контроля: проверка клапана пропорционального регулирования сцепления E

Приоритет ошибки: 7

Описание неисправности: временная, нехарактерная электрическая неисправность в регуляторе давления E (FMI 0)

Реакция системы: КПП переходит в нейтральную передачу.

Примечание: ошибка появляется вместе с ошибками 5204, 5224 или 5234

Устранение: Проверьте кабели и штекерные соединения, при необходимости отремонтируйте, замените клапан пропорционального регулирования

Этапы контроля: измерение сопротивления штекера блока управления со стороны КПП (отсоединить штекер) между Pin 9 и Pin 5 и измерение сопротивления на штекере КПП (отсоединить штекер) между Pin 3 и Pin 24. Заданная величина: 10 - 15 Ом"
5215,Электрическая неисправность регулятора давления сцепления F,"Стратегия текущего контроля: проверка клапана пропорционального регулирования сцепления F

Приоритет ошибки: 7

Описание неисправности: временная, нехарактерная электрическая неисправность в регуляторе давления F (FMI 0)

Реакция системы: КПП переходит в нейтральную передачу.

Примечание: ошибка появляется вместе с ошибками 5205, 5225 или 5235

Устранение: Проверьте кабели и штекерные соединения, при необходимости отремонтируйте, замените клапан пропорционального регулирования

Этапы контроля: измерение сопротивления штекера блока управления со стороны КПП (отсоединить штекер) между Pin 9 и Pin 24 и измерение сопротивления на штекере КПП (отсоединить штекер) между Pin 3 и Pin 19. Заданная величина: 10 - 15 Ом"
5216,Электрическая неисправность регулятора давления сцепления для блокирования гидротрансформатора,"Стратегия текущего контроля: проверка клапана пропорционального регулирования сцепления для блокирования гидротрансформатора (WK)

Приоритет ошибки: 7

Описание неисправности: временная, нехарактерная электрическая неисправность в регуляторе давления WK (FMI 0)

Реакция системы: КПП переходит в нейтральную передачу.

Примечание: ошибка появляется вместе с ошибками 5206, 5226 или 5236

Устранение: Проверьте кабели и штекерные соединения, при необходимости отремонтируйте, замените клапан пропорционального регулирования

Этапы контроля: измерение сопротивления штекера блока управления со стороны КПП (отсоединить штекер) между Pin 9 и Pin 25 и измерение сопротивления на штекере КПП (отсоединить штекер) между Pin 3 и Pin 9. Заданная величина: 10 - 15 Ом"
5217,Электрическая неисправность регулятора главного давления,"Стратегия текущего контроля: проверка клапана пропорционального регулирования основного давления (HD)

Приоритет ошибки: 7

Описание неисправности: временная, нехарактерная электрическая неисправность в регуляторе давления HD (FMI 0)

Реакция системы: КПП переходит в нейтральную передачу.

Примечание: ошибка появляется вместе с ошибками 5207, 5227 или 5237

Устранение: Проверьте кабели и штекерные соединения, при необходимости отремонтируйте, замените клапан пропорционального регулирования

Этапы контроля: измерение сопротивления штекера блока управления со стороны КПП (отсоединить штекер) между Pin 9 и Pin 16 и измерение сопротивления на штекере КПП (отсоединить штекер) между Pin 3 и Pin 10. Заданная величина: 10 - 15 Ом"
5218,Электрическая неисправность регулятора давления ретардера,"Стратегия текущего контроля: проверка клапана пропорционального регулирования давления ретардера (RET)

Приоритет ошибки: 7

Описание неисправности: временная, нехарактерная электрическая неисправность в регуляторе давления RET (FMI 0)

Реакция системы: КПП переходит в нейтральную передачу.

Примечание: ошибка появляется вместе с ошибками 5208, 5228 или 5238

Устранение: Проверьте кабели и штекерные соединения, при необходимости отремонтируйте, замените клапан пропорционального регулирования

Этапы контроля: измерение сопротивления штекера блока управления со стороны КПП (отсоединить штекер) между Pin 9 и Pin 14 и измерение сопротивления на штекере КПП (отсоединить штекер) между Pin 3 и Pin 8. Заданная величина: 10 - 15 Ом"
5221,Короткое замыкание на массу регулятора давления сцепления A,"Стратегия текущего контроля: проверка клапана пропорционального регулирования сцепления A

Приоритет ошибки: 2

Описание неисправности: короткое замыкание на массу (FMI 5)

Реакция системы: КПП переходит в нейтральную передачу.

Устранение: Проверьте кабели и штекерные соединения, при необходимости отремонтируйте, замените клапан пропорционального регулирования

Этапы контроля: измерение сопротивления штекера блока управления со стороны КПП (отсоединить штекер) между Pin 20 и массой и измерение сопротивления на штекере КПП (отсоединить штекер) между Pin 13 и массой. Заданная величина: Номинальное значение: >10 кОм"
5222,Короткое замыкание на массу регулятора давления сцепления B,"Стратегия текущего контроля: проверка клапана пропорционального регулирования сцепления B

Приоритет ошибки: 2

Описание неисправности: короткое замыкание на массу (FMI 5)

Реакция системы: КПП переходит в нейтральную передачу.

Устранение: Проверьте кабели и штекерные соединения, при необходимости отремонтируйте, замените клапан пропорционального регулирования

Этапы контроля: измерение сопротивления штекера блока управления со стороны КПП (отсоединить штекер) между Pin 3 и массой и измерение сопротивления на штекере КПП (отсоединить штекер) между Pin 12 и массой. Заданная величина: Номинальное значение: >10 кОм"
5223,Короткое замыкание на массу регулятора давления сцепления D,"Стратегия текущего контроля: проверка клапана пропорционального регулирования сцепления D

Приоритет ошибки: 2

Описание неисправности: короткое замыкание на массу (FMI 5)

Реакция системы: КПП переходит в нейтральную передачу.

Устранение: Проверьте кабели и штекерные соединения, при необходимости отремонтируйте, замените клапан пропорционального регулирования

Этапы контроля: измерение сопротивления штекера блока управления со стороны КПП (отсоединить штекер) между Pin 4 и массой и измерение сопротивления на штекере КПП (отсоединить штекер) между Pin 22 и массой. Заданная величина: Номинальное значение: >10 кОм"
5224,Короткое замыкание на массу регулятора давления сцепления E,"Стратегия текущего контроля: проверка клапана пропорционального регулирования сцепления E

Приоритет ошибки: 2

Описание неисправности: короткое замыкание на массу (FMI 5)

Реакция системы: КПП переходит в нейтральную передачу.

Устранение: Проверьте кабели и штекерные соединения, при необходимости отремонтируйте, замените клапан пропорционального регулирования

Этапы контроля: измерение сопротивления штекера блока управления со стороны КПП (отсоединить штекер) между Pin 5 и массой и измерение сопротивления на штекере КПП (отсоединить штекер) между Pin 24 и массой. Заданная величина: Номинальное значение: >10 кОм"
