code,description,steps
00168,Повышенное или пониженное напряжение,"Вид неисправности: 1 - сигнал за пределами зоны измерения / сигнал слишком высокий

Проявление неисправности: Максимально допустимое рабочее напряжение 32 В было превышено. Возникает ""повышенное напряжение"".

Устранение неисправности: Проверить предохранитель, проверить кабели, проверить штекерные соединения, проверить аккумуляторную батарею, если причина неисправности не определена, следует заменить дверной модуль.

Вид неисправности: 2 - сигнал слишком низкий

Проявление неисправности: Максимально допустимое рабочее напряжение 16 В оказалось ниже номинального. Возникает ""пониженное напряжение"". Записи неисправностей в накопитель заблокированы.

Устранение неисправности: Проверить предохранитель, проверить кабели, проверить штекерные соединения, проверить аккумуляторную батарею, если причина неисправности не определена, следует заменить дверной модуль со стороны водителя/пассажира."
00639,Неисправность CAN,"Вид неисправности: 0 - Неисправность не определена

Проявление неисправности: Внутренняя система данных CAN между дверным модулем со стороны водителя и дверным модулем со стороны пассажира отправляет сигнал ""Отключение системы"". Система функционирует с ограничениями. Функции дверного модуля, которые использую систему данных CAN, не выполняются. Кроме того пытается создать соединение.

Устранение неисправности: Проверить кабели, проверить штекерные соединения, выполнить замер сопротивления, проверить параметризацию дверного модуля со стороны водителя.

Выполнить замер сопротивления:

внутренняя система данных CAN; дверной модуль – между Pin X1/18 (+) и Pin X1/17 (-): ок. 120 Ом (дверной модуль вынут), ок. 60 Ом (дверной модуль вставлен)

при прибл. 0 Ом короткое замыкание от CAN-High на CAN-Low.

Проверить параметризацию:

проверить параметризацию дверного модуля со стороны водителя, для дверного модуля со стороны пассажира отсутствует необходимость параметризации, обеспечить, работоспособность CAN-соединения между дверным модулем со стороны водителя и дверным модулем со стороны пассажира, если причина неисправности не определена, необходимо заменить дверной модуль со стороны водителя/пассажира."
03001,Цифровой номер сброса,"Проверить параметризацию:

проверить параметризацию дверного модуля со стороны водителя, для дверного модуля со стороны пассажира отсутствует необходимость параметризации, если причина неисправности не определена, необходимо заменить дверной модуль со стороны водителя/пассажира."
03002,Сбой по контрольной сумме,"Вид неисправности: 9 - Неисправность прибора

Проявление неисправности: Контрольная сумма дверного модуля со стороны водителя/пассажира является ошибочной. Внутренние ошибки этого вида являются критичными для безопасности. Реакция на сбой является сомнительной. Автомобиль согласно приоритету неисправности следует немедленно остановить.

Устранение неисправности: Накопитель сбоев необходимо стереть. Если неисправность после стирания накопителя сбоев снова появляется, дверной модуль со стороны водителя/пассажира следует заменить. Если это сообщение об ошибке также часто появляется во время обычной эксплуатации, то также здесь рекомендуется заменить дверной модуль со стороны водителя/пассажира."
03003,Программирование прервано,"Проявление неисправности: Дверной модуль может нарушить связь между рабочим компьютером и другими устройствами управления, ""указывая"" постоянно об этом без разрешения.

Устранение неисправности: при помощи ПК провести повторно параметризацию. ПК ожидает в соответствующих местах процесса параметризации, чтобы вставить или извлечь дверной модуль. Параметризируется только дверной модуль со стороны водителя, для дверного модуля со стороны пассажира отсутствует необходимость параметризации."
03004,Нелегальное состояние,"Проявление неисправности: Дверной модуль находится в состоянии, которое, собственно говоря, не должно появляться (сомнительное событие).

Устранение неисправности: проверить параметризацию дверного модуля со стороны водителя.

Проверить параметризацию:

проверить параметризацию дверного модуля со стороны водителя, для дверного модуля со стороны пассажира отсутствует необходимость параметризации, если причина неисправности не определена, необходимо заменить дверной модуль со стороны водителя/пассажира."
03005,Нелегальное событие,"Проявление неисправности: На дверном модуле происходит событие, которое, собственно говоря, не должно возникать (сомнительное событие).

Устранение неисправности: проверить параметризацию дверного модуля со стороны водителя.

Проверить параметризацию:

проверить параметризацию дверного модуля со стороны водителя, для дверного модуля со стороны пассажира отсутствует необходимость параметризации, если причина неисправности не определена, необходимо заменить дверной модуль со стороны водителя/пассажира."
03006,Мотор стеклоподъемника,"Вид неисправности: 5 - Короткое замыкание по массе

Вид неисправности: 6 - Короткое замыкание по UBat

Для мотора стеклоподъемника возникает короткое замыкание по UBat, по массе или прерывание.

Устранение неисправности: Проверить достоверность сигнала через мониторинг ПК, проверить кабели, проверить штекерные соединения, проверить мотор стеклоподъемника, выполнить замер напряжения, проверить параметризацию дверного модуля со стороны водителя, если причина неисправности не определена, следует заменить дверной модуль со стороны водителя/пассажира.

Выполнить замер напряжения:

электропитание мотора стеклоподъемника; дверной модуль со стороны водителя/пассажира – между Pin X1/7 (+) и Pin X1/1 (-): при поднятии ок. +22,8 В; при опускании ок. -22,8 В

Проверить параметризацию:

проверить параметризацию дверного модуля со стороны водителя, для дверного модуля со стороны пассажира отсутствует необходимость параметризации"
03007,справа/слева выключатель (зеркало),"Проявление неисправности: Кулисный переключатель для предварительной установки зеркала: левая или правая сторона, неисправна.

Устранение неисправности: В этом случае дверной модуль со стороны водителя следует заменить."
03008,Отключение стеклоподъемника,"Вид неисправности: 5 - Короткое замыкание по массе

Вид неисправности: 6 - Короткое замыкание по UBat

Вид неисправности: 10 - Прерывание

Проявление неисправности: Для мотора стеклоподъемника возникает короткое замыкание по UBat, по массе или прерывание. Неисправность необходимо найти в периферийном оборудовании.

Устранение неисправности: Проверить достоверность сигнала через мониторинг ПК, проверить кабели, проверить штекерные соединения,

Если причина неисправности не определена, дверной модуль со стороны водителя/пассажира следует заменить."
03009,Время установки зеркала превышено,"Проявление неисправности: Установка зеркал не выполнялась в предписанном (параметризованном) растре времени.

Устранение неисправности: при помощи ПК провести повторно параметризацию. Параметризируется только дверной модуль со стороны водителя, для дверного модуля со стороны пассажира отсутствует необходимость параметризации."
03010,Контроль программного продукта,"Устранение неисправности: проверить параметризацию дверного модуля со стороны водителя.

Проверить параметризацию:

проверить параметризацию дверного модуля со стороны водителя, для дверного модуля со стороны пассажира отсутствует необходимость параметризации, если причина неисправности не определена, необходимо заменить дверной модуль со стороны водителя/пассажира."
03011,Центральный замок не закрывается,"Проявление неисправности: Если после выключения зажигания дверной модуль со стороны водителя и/или зажигание не включается в течение  60 секунд и затем дверь пассажира запирается ключом, дверь водителя остается незакрытой (отсутствие центрального замка, кратковременного двукратного включения указателей поворота, как это в противном случае обычно происходит при центральном замке). Причиной является неисправная плата дверного модуля.

Устранение неисправности: заменить дверной модуль, при помощи ПК провести повторно параметризацию. Параметризируется только дверной модуль со стороны водителя, для дверного модуля со стороны пассажира отсутствует необходимость параметризации."
