code,description,steps
03000,Неисправность отсутствует.,Область функции 1: Электронная тормозная система EBS тягача и прицепа функциональных ограничений и неисправностей.
03001,Неисправность устройства управления.,"Сигнальная лампа STOP светится красным цветом, также красным цветом светится лампа общего контроля тормозов. Отключаются: регулирование давления переднего, заднего, дополнительного мостов, клапана управления прицепом, ABS, ESP, ASR. Внутренняя ошибка в блоке EBS (A402). Очистить регистратор неисправностей, проверить наличие других кодов и выполнить мероприятия по поиску неисправностей для этих кодов. После этого снова очистить регистратор неисправностей, если ошибка появится снова, заменить блок EBS (А402). Нарушение, область функций 11 : Обесточены все модули регулировки давления, питание на блок EBS (A402) подаётся, торможение производится посредством резервного пневматического контура, оборудование не имеет ALB, ABS и ASR (регулятор тормозов и двигателя). "
03002,Неисправность устройства управления.,"Сигнальная лампа STOP светится красным цветом, также красным цветом светится лампа общего контроля тормозов. Отключаются: регулирование давления переднего, заднего, дополнительного мостов, клапана управления прицепом, ABS, ESP, ASR. Внутренняя ошибка в блоке EBS (A402). Очистить регистратор неисправностей, проверить наличие других кодов и выполнить мероприятия по поиску неисправностей для этих кодов. После этого снова очистить регистратор неисправностей, если ошибка появится снова, заменить блок EBS (А402). Нарушение, область функций 11 : Обесточены все модули регулировки давления, питание на блок EBS (A402) подаётся, торможение производится посредством резервного пневматического контура, оборудование не имеет ALB, ABS и ASR (регулятор тормозов и двигателя). "
03003,Неисправность устройства управления.,"Сигнальная лампа STOP светится красным цветом, также красным цветом светится лампа общего контроля тормозов. Отклонения между входными сигналами. Внутренняя ошибка в блоке EBS (A402). Очистить регистратор неисправностей, проверить наличие других кодов и выполнить мероприятия по поиску неисправностей для этих кодов. После этого снова очистить регистратор неисправностей, если ошибка появится снова, заменить блок EBS (А402). Нарушение, область функций 11 : Обесточены все модули регулировки давления, питание на блок EBS (A402) подаётся, торможение производится посредством резервного пневматического контура, оборудование не имеет ALB, ABS и ASR (регулятор тормозов и двигателя). "
03004,Неисправность устройства управления.,"Сигнальная лампа STOP светится красным цветом, также красным цветом светится лампа общего контроля тормозов. Внутренняя ошибка в блоке EBS (A402). Очистить регистратор неисправностей, проверить наличие других кодов и выполнить мероприятия по поиску неисправностей для этих кодов. После этого снова очистить регистратор неисправностей, если ошибка появится снова, заменить блок EBS (А402). Нарушение, область функций 11 : Обесточены все модули регулировки давления, питание на блок EBS (A402) подаётся, торможение производится посредством резервного пневматического контура, оборудование не имеет ALB, ABS и ASR (регулятор тормозов и двигателя). "
03005,"Неисправность устройства управления, ошибка EEPROM.","Сигнальная лампа STOP светится красным цветом, также красным цветом светится лампа общего контроля тормозов. Очистить регистратор неисправностей, при помощи ПК ввести контрольную сумму в блок EBS (A402). Отключаются: регулирование давления переднего, заднего, дополнительного мостов, клапана управления прицепом, ABS, ESP, ASR. Внутренняя ошибка в блоке EBS (A402). Очистить регистратор неисправностей, проверить наличие других кодов и выполнить мероприятия по поиску неисправностей для этих кодов. После этого снова очистить регистратор неисправностей, если ошибка появится снова, заменить блок EBS (А402). Нарушение, область функций 11 : Обесточены все модули регулировки давления, питание на блок EBS (A402) подаётся, торможение производится посредством резервного пневматического контура, оборудование не имеет ALB, ABS и ASR (регулятор тормозов и двигателя). "
03006, ,Определение фактической неисправности отсутствует.
03007, ,Определение фактической неисправности отсутствует.
03008,Неисправность устройства управления.,"Сигнальная лампа STOP светится красным цветом, также красным цветом светится лампа общего контроля тормозов. Внутренняя ошибка в блоке EBS (A402). Очистить регистратор неисправностей, проверить наличие других кодов и выполнить мероприятия по поиску неисправностей для этих кодов. После этого снова очистить регистратор неисправностей, если ошибка появится снова, заменить блок EBS (А402). Нарушение, область функций 11 : Обесточены все модули регулировки давления, питание на блок EBS (A402) подаётся, торможение производится посредством резервного пневматического контура, оборудование не имеет ALB, ABS и ASR (регулятор тормозов и двигателя). "
03009,Неисправность устройства управления.,"Сигнальная лампа STOP светится красным цветом, также красным цветом светится лампа общего контроля тормозов. Внутренняя ошибка в блоке EBS (A402). Очистить регистратор неисправностей, проверить наличие других кодов и выполнить мероприятия по поиску неисправностей для этих кодов. После этого снова очистить регистратор неисправностей, если ошибка появится снова, заменить блок EBS (А402). Нарушение, область функций 11 : Обесточены все модули регулировки давления, питание на блок EBS (A402) подаётся, торможение производится посредством резервного пневматического контура, оборудование не имеет ALB, ABS и ASR (регулятор тормозов и двигателя). "
03010,"Неисправность устройства управления, неверное значение диаметра колёс.","Сигнальная лампа STOP горит желтым цветом. При помощи программирования End Of Line (EOL), скорректировать параметры диаметра колёс посредством записи в EEPROM. Очистить регистратор неисправностей, считать коды ещё раз, если ошибка проявляется снова, заменить блок EBS (A402). Область функции 7 : Тормозное давление в соответствующем канале регулируется по номинальному значению посредством системы электронного торможения EPB. Деактивированы ABS, ASR. Не настраивается выход реле тормоза-замедлителя (DBR)."
03011,"Неисправность устройства управления, ошибка в характеристике рабочего тормозного клапана.",Сигнальная лампа STOP горит желтым цветом. Откалибровать рабочий тормозной клапан (с встроенным датчиком тормозного значения В337) при помощи ПК. Область функции 1: Электронная тормозная система EBS тягача и прицепа функциональных ограничений и неисправностей.
03012,"Неисправность устройства управления, несовместимый номер версии набора данных.","Сигнальная лампа STOP светится красным цветом, также красным цветом светится лампа общего контроля тормозов. При помощи программирования End Of Line (EOL), скорректировать набор данных посредством записи в EEPROM. Загружаемый набор данных должен соответствовать спецификации данного автомобиля. После этого снова очистить регистратор неисправностей, если ошибка появится снова, заменить блок EBS (А402). Область функции 12 : Обесточены все компоненты EBS. Торможение выполняется посредством пневматического резервного контура. Отключаются : ALB, ABS, ASR."
03013,"Неисправность устройства управления, характеристика в EEPROM не идентифицирована.","Сигнальная лампа STOP светится красным цветом, также красным цветом светится лампа общего контроля тормозов. Проверить характеристики в наборе данных EEPROM при помощи ПК. После этого снова очистить регистратор неисправностей, если ошибка появится снова, заменить блок EBS (А402). Область функции 12 : Обесточены все компоненты EBS. Торможение выполняется посредством пневматического резервного контура. Отключаются : ALB, ABS, ASR."
03014, ,Определение фактической неисправности отсутствует.
03015, ,Определение фактической неисправности отсутствует.
03016, ,Определение фактической неисправности отсутствует.
03017, ,Определение фактической неисправности отсутствует.
03018, ,Определение фактической неисправности отсутствует.
03019, ,Определение фактической неисправности отсутствует.
03020,Неверное напряжение питания аналоговых датчиков (5 Вольт).,"Сигнальная лампа STOP светится красным цветом, также красным цветом светится лампа общего контроля тормозов. Напряжение 5 Вольт между массой датчика тормозного значения (Pin X2/3) и напряжением питания датчика тормозного значения (Pin X2/2) на разъёме блока EBS (A402) должно соответствовать напряжению 5 В ± 0,45 В. Напряжение также можно считать при помощи ПК. Проверить проводку питания 5 В. для датчика тормозного значения (В337) (встроен в рабочий тормозной клапан) и проверить датчик системы автоматического регулирования тормозного усилия (В336) в зависимости от нагрузки (ALB) при помощи включения в обход датчика. Область функций 10 : Питание на блок EBS (A402) и модуль регулировки давления подано. Обработаны сигналы в модуле регулировки давления и переданы в блок EBS (A402). Блок EBS (A402) передаёт модулю регулировки давления заданное нулевое значение. Торможение выполняется посредством пневматического резервного контура. Автоматическое регулирование тормозного усилия в зависимости от нагрузки (ALB) и регулирование ASR не производится."
03021,"Потенциометр рабочего тормозного клапана, сигнал ошибочный.","Сигнальная лампа STOP светится красным цветом, также красным цветом светится лампа общего контроля тормозов. Допустимый интервал значений сигнала потенциометра на разъёме блока EBS (A402): Сигнал датчика тормозного значения 1 : Между массой датчика тормозного значения (Pin X2/3) и сигналом потенциометра 1 (Pin X2/7) должен соответствовать 0,5 - 0,2 В. и 4,3 + 0,2 В. Сигнал датчика тормозного значения 2 : Между массой датчика тормозного значения (Pin X2/3) и сигналом потенциометра 2 (Pin X2/4) должен соответствовать 4,4 + 0,2 В. и 0,5 - 0,2 В. Допустимый интервал значений напряжения питания блока EBS (A402) : Напряжение, между напряжением питания датчика тормозного значения - 5 В. (Pin X2/2) и массой (Pin X2/3) должно составлять 5 В ± 0,45 В. Эти значения также можно считать при помощи ПК. Проверить проводку и контакты в разъёмах между рабочим тормозным клапаном со встроенным датчиком тормозного значения (В337) и блоком EBS (A402) на предмет обрывов и замыканий. Измерить напряжение питания на датчике тормозного значения и сопротивление датчика тормозного значения. Номинальная величина сопротивления датчика тормозного значения при отсоединённом разъёме от датчика должна составлять : Pin X2/7 4.2 кОм = R = 7,5 кОм (номинальное значение 1 от тормозного датчика), Pin X2/4 4.9 кОм = R = 2.1 кОм (номинальное значение 2 от тормозного датчика). Область функций 10 : Питание на блок EBS (A402) и модуль регулировки давления подано. Обработаны сигналы в модуле регулировки давления и переданы в блок EBS (A402). Блок EBS (A402) передаёт модулю регулировки давления заданное нулевое значение. Торможение выполняется посредством пневматического резервного контура. Автоматическое регулирование тормозного усилия в зависимости от нагрузки (ALB) и регулирование ASR не производится."
03022,"Датчик 1 нагрузки на мост, неисправность.","Сигнальная лампа STOP горит желтым цветом. Допустимый интервал значений датчика ALB, измеренный на модуле регулировки давления заднего моста (Y264) : между Pin 3/3 и Pin 3/1 напряжение должно составлять > 0,1 В. (давление в пневматических рессорах низкое) и < 4,9 В (давление в пневматических рессорах высокое). Эти значения также можно считать при помощи ПК. Также следует убедиться в совместимости параметров EOL и подключенных датчиков. Проверить проводку и контакты в разъёмах между модулем регулировки давления заднего моста (Y264) и датчиком (В336) системы автоматического регулирования тормозного усилия в зависимости от нагрузки (ALB) на предмет обрывов и замыканий. Значение сопротивления при отсоединённом разъёме датчика : между Pin 2 (масса датчика) и Pin 3 (линия передачи данных датчика) 2,2 кОм = R = 8,4 кОм. и между Pin 1 (напряжение питания 5 В.) и Pin 2 (масса датчика) 4,0 кОм = R = 6,0 кОм. Область функций 5 : Система EBS работает с запрограммированным значением ""L=ALB-ошибка"" для распределения тормозного давления при торможении рабочим тормозом (EPB) и со значением ALB L=0 при ABS c IRM (модифицированием для индивидуального регулирования) на переднем мосту."
