pCode,spnCode,description,steps,signs,reaction
Р0069,102,Датчик давления нагнетаемого воздуха,"Проверка контактов и электропроводки датчика, а также проверка герметичности системы наддува",Обрыв цепи,Давление наддува воспринимается  как стандартное. Воспринимается давление нагнетаемого воздуха согласно атмосферному давлению
Р0087,"3775
3776",Магистральное давление,Проверка давления,"Открытие клапана ограничения давления, остановка двигателя",Сбой в работе ДВС
Р0115,3091,Датчик температуры охлаждающей жидкости,Проверка напряжения датчика,Отсутствует сигнал,"Выдача резервного параметра, ограничение момента вращения ДВС,  контроль OBD не возможен"
Р0130,3921,Концентрация О2, , , 
Р0190,3099,Датчик магистрального давления,Проверка напряжения датчика,Отсутствует сигнал,"ДВС продолжает работать с 800 BAR магистрального давления, ограничение момента вращения ДВС, уменьшение частоты вращения до 2000 об/мин для D08,  сбой в работе ДВС."
Р1000,81,Датчик давления отработавших газов,"Проверка контактов, проверка правильности скорости изменения перепадов давления отработанных газов","Плохой контакт, правильность давления", 
Р1004,105,Температура нагнетаемого воздуха,"Проверка контактов, проверка правильности скорости изменения температуры нагнетаемого воздуха.","Высокая или низкая температура, плохой контакт сигнального провода, неверный сигнал.",Сбой в работе ДВС.
Р1010,173,Датчик температуры отработавших газов,"Проверка контактов, проверка правильности скорости изменения температуры отработавших газов.","Высокая или низкая температура, плохой контакт сигнального провода, неверный сигнал.",Контроль OBD не возможен.
Р1013,1079,Питание датчика магистрального давления,Проверка на замыкание и на обрыв проводов питания и массы.,"Замыкание, отсутствует сигнал.","Двигатель продолжает работать с 800 BAR магистрального давления,  ограничение момента вращения ДВС, сбой в работе ДВС."
Р1014,1080,"Питание датчика низкого давления топлива, нагнетаемого воздуха и давления масла.",Проверка на замыкание и на обрыв проводов питания и массы,"Замыкание, отсутствует сигнал",Электрический сбой.
Р1018,3081,Регулятор давления нагнетаемого воздуха,Значение давления нагнетаемого воздуха не подлежит регулировке.,Постоянное отклонение регулируемой величины.,"Ограничение момента вращения ДВС,  сбой в работе ДВС."
Р1020,3083,Правильность показаний датчика магистрального давления,Проверка снижения давления при остановке ДВС до уровня давления в атмосфере.,Высокое или низкое напряжение датчика при неработающем ДВС,Электрический сбой.
Р1022,3088,Датчик давления нагнетаемого воздуха после промежуточного охладителя во впускном коллекторе,Проверка напряжения датчика.,"Замыкание, отсутствует сигнал.","Имитация давления нагнетаемого воздуха в качестве эквивалента,   электрический сбой."
Р1023,3089,Датчик температуры нагнетаемого воздуха,Проверка напряжения датчика,"Замыкание, отсутствует сигнал.",Контроль OBD не возможен.
Р1028,3687,Клапан ограничения давления,Проверка открытия, ,"ДВС останавливается,   сбой в работе ДВС"
Р1036,3745,"Выходной каскад
исполнительного механизма давления нагнетаемого воздуха",Проверка выходного каскада на замыкание и на обрыв проводов питания и массы.,"Замыкание, отсутствует сигнал.","Выходной каскад выключен, частота вращения ДВС уменьшена,   электрический сбой."
Р1037,3746,Выходной каскад рециркуляции ОГ,Проверка выходного каскада на замыкание и на обрыв проводов питания и массы.,"Замыкание, отсутствует сигнал.","Выходной каскад выключен, частота вращения ДВС уменьшена,   сбой в работе ДВС. неисправности"
Р1038,3748,Выходной каскад блока дозировки,Проверка выходного каскада на замыкание и на обрыв проводов питания и массы.,"Замыкание, отсутствует сигнал.","Выходной каскад выключен, ДВС работает с 800 BAR магистрального давления, частота вращения ДВС уменьшена, ограничен крутящий момент ДВС, сбой в работе ДВС."
Р1041,3756,Обратный сигнал рециркуляции ОГ,Проверка на замыкание и обрыв проводов питания и массы.,"Замыкание, отсутствует сигнал.","Отсутствие значений или неправильные  значения с датчика, контроль OBD не возможен."
Р1044,3777,Контур регулировки магистрального давления,Проверка на повышенное магистральное давление.,Высокое магистральное давление не поддаётся регулировке.,"Не работает обратный слив топлива, возможно открытие клапана ограничения давления, сбой в работе ДВС."
Р1048,3781,Клапан ограничения давления,Проверка открытия клапана., ,"Магистральное давление от 600 до 800 BAR, ограничен крутящий момент ДВС, ограничена частота вращения ДВС."
Р1049,3789,Датчик сравнения перепада давления отработанных газов,Проверка напряжения датчика.,"Замыкание, отсутствует сигнал.",Контроль OBD не возможен.
Р1050,3790,Правильность показаний датчика сравнения перепада давления отработанных газов,Проверка на низкое давление при работающем ДВС. Проверка двух различных исправленных значений давлений нагнетаемого воздуха и отработанных газов.,Разность давлений,Контроль OBD не возможен.
Р1051,3792,Датчик температуры отработанных газов,Проверка напряжения датчика.,"Замыкание, отсутствует сигнал.",Контроль OBD не возможен.
Р1056,3811,Правильность показаний датчика температуры отработанных газов.,Проверка отклонения показаний датчика при выключении ДВС (температура газов должна опуститься до температуры окружающего воздуха).,Высокая или низкая температура.,Сбой системы отработанных газов.
