code,description,steps
081,Датчик перепада давления или датчик относительного давления ОГ,"Стратегия мониторинга: проверка на неплотный контакт или достоверность скорости изменения перепада давления ОГ. Перепад давления слишком высокий или слишком низкий.

Приоритетность ошибки: 5

Код P бортовой системы самодиагностики: P1000

Влияние неисправности: выдача эквивалентного значения.

Описание неисправности: давление слишком высокое (FMI 1), давление слишком низкое (FMI 2), недостоверный сигнал (FMI 3).

Способ устранения:

-         Проверка с помощью мониторинга MAN-cats® сигнала на идентифицируемость.

-         Проверка кабелей.

-         Проверка разъемных соединений.

-         При необходимости замена датчика перепада/относительного давления ОГ

(B695).

Этапы проверки:

-         Электропитание: замер напряжения между контактом C82 и контактом C63.

Заданное значение: 4,75–5,25 В

-         Напряжение сигнала: замер напряжения между контактом C10 и контактом

C63.

Заданное значение: от 0,40 до 0,90 В при 0–50 мбар на холостом ходу"
094,Давление подачи топлива,"Стратегия мониторинга: проверка достоверности скорости изменения давления подачи топлива и нахождения этого давления в нормальном диапазоне (заблокированный фильтр, слишком высокое разрежение в заборной трубе, неисправный насос для подачи топлива, воздух в системе).

Приоритетность ошибки: 2

Код P бортовой системы самодиагностики: P0148

Влияние неисправности: двигатель может остановиться, в некоторых случаях возможна потеря мощности.

Описание неисправности: давление слишком высокое (FMI 1), давление слишком низкое (FMI 2), недостоверный сигнал (FMI 3).

Способ устранения:

-         Проверка контура низкого давления по гидравлическому списку контрольных проверок.

-         Проверка с помощью мониторинга MAN-cats® сигнала на идентифицируемость.

-         Проверка кабелей.

-         Проверка разъемных соединений.

-         Проверка и при необходимости замена датчика давления топлива (B377).

Этапы проверки:

-         Электропитание: замер напряжения между контактом C81 и контактом C19.

Заданное значение: 4,75–5,25 В

-         Напряжение сигнала: замер напряжения между контактом C35 и контактом

C19.

Заданное значение: от 1,00 до 2,50 В при 1,90–7,50 бар на холостом ходу"
098,Уровень масла,"Стратегия мониторинга: проверка на неплотный контакт или достоверность скорости

изменения перепада давления ОГ. слишком высокий или слишком низкий уровень масла.

Приоритетность ошибки: 2

Код P бортовой системы самодиагностики: P1555

Влияние неисправности:

Описание неисправности: уровень масла слишком высокий (FMI 1), уровень масла слишком низкий (FMI 2), недостоверный сигнал (FMI) 3."
100,Давление масла,"Стратегия мониторинга: контроль слишком высокого или слишком низкого давления масла, контроль неплотного контакта или проверка достоверности скорости изменения давления масла.

Приоритетность ошибки: 1 для FMI 2. Приоритет 2 для FMI 1, FMI 3 и FMI 11.

Код P бортовой системы самодиагностики: P0521

Влияние неисправности: опасность повреждения двигателя.

Описание неисправности: давление слишком высокое (FMI 1), давление слишком низкое (FMI 2), недостоверный сигнал (FMI 3), неплотный контакт на сигнальной линии (FMI 11).

Способ устранения:

-         Проверка с помощью мониторинга MAN-cats® сигнала на идентифицируемость.

-         Проверка кабелей.

-         Проверка разъемных соединений.

-         Проверка и при необходимости замена датчика давления масла (B104).

Этапы проверки:

-         Электропитание: замер напряжения между контактами A36 и A09.

Заданное значение: 4,75–5,25 В

-         Напряжение сигнала: замер напряжения между контактами A14 и A09.

Заданное значение: от 1,20 до 4,35 В при 1,5–5,4 мбар на холостом ходу"
102,Давление наддува перед двигателем (в трубе наддува),"Стратегия мониторинга: проверка на слишком высокое или низкое давление наддува, на неплотный контакт или достоверность скорости изменения температуры давления наддува в трубе наддува.

Приоритетность ошибки: 1 для FMI 1, FMI 3 и FMI 11. Приоритет 4 для FMI 2 и FMI 8.

Код P бортовой системы самодиагностики: P0069

Влияние неисправности: выдача эквивалентного значения.

Описание неисправности: давление слишком высокое (FMI 1), давление слишком низкое (FMI 2), недостоверный сигнал (FMI 3), ошибка сигнала (FMI 8), неплотный контакт на сигнальной линии (FMI 11).

Способ устранения:

-         Проверка с помощью мониторинга MAN-cats® сигнала на идентифицируемость.

-         Проверка кабелей.

-         Проверка разъемных соединений.

-         Проверка и при необходимости замена датчика давления наддува/датчика температуры воздуха для турбонагнетателя (В623).

Этапы проверки:

-         Электропитание: замер напряжения между контактом C58 и контактом C68.

Заданное значение: 4,75–5,25 В

-         Напряжение сигнала: замер напряжения между контактом C79 и контактом

C68.

Заданное значение: 1,05–1,11 В при 0–50 мбар на холостом ходу (PWG мин.). 1,05–2,20 В при 0–500 мбар в верхнем диапазоне холостого хода (PWG макс.)."
105,Температура воздуха наддува перед впуском цилиндра (после AGR),"Стратегия мониторинга: проверка на слишком высокую или слишком низкую температуру воздуха наддува, на неплотный контакт или достоверность изменения скорости.

Приоритетность ошибки: 4

Код P бортовой системы самодиагностики: P1004

Влияние неисправности: выдача эквивалентного значения.

Описание неисправности: слишком высокая температура (FMI 1), слишком низкая температура (FMI 2), недостоверный сигнал (FMI 3). Ошибочный сигнал (FMI 8).

Способ устранения:

-         Проверка с помощью мониторинга MAN-cats® сигнала на идентифицируемость.

-         Проверка кабелей.

-         Проверка разъемных соединений.

-         Проверка и при необходимости замена датчика температуры воздуха для турбонагнетателя (B123).

Этапы проверки:

-         Сопротивление датчика: замер сопротивления между контактом C37 и контактом C87..

Заданное значение: 5,90–0,60 кОм при 0–60 °C.

-         Напряжение сигнала: замер напряжения между контактом C37 и контактом

C87.

Заданное значение: от 4,20 до 2,20 В при 0–60 °C на холостом ходу"
108,Атмосферное давление,"Стратегия мониторинга: контроль достоверности скорости изменения.

Приоритетность ошибки: 5

Код P бортовой системы самодиагностики: P0129 Влияние неисправности: выдача эквивалентного значения. Описание неисправности: недостоверный сигнал (FMI 3).

Способ устранения:

-         Проверка с помощью мониторинга MAN-cats® сигнала на идентифицируемость.

-         Проверка элемента выравнивания давления на блоке управления (поврежден или засорен)

-         Если неисправности не обнаруживаются: проверить и при необходимости заменить блок управления двигателем EDC (А435) (по согласованию с компетентным специализированным отделением)."
110,Температура охлаждающей жидкости,"Стратегия мониторинга: проверка на предмет слишком высокой или слишком низкой температуры, неплотного контакта или достоверности скорости изменения.

Приоритетность ошибки: 2

Код P бортовой системы самодиагностики: P0217

Влияние неисправности: возможность уменьшения крутящего момента при слишком высокой температуре охлаждающей жидкости.

Описание неисправности: температура охлаждающей жидкости слишком высокая (FMI 1), температура охлаждающей жидкости слишком низкая (FMI 2), недостоверный сигнал (FMI 3).

Способ устранения:

-         Проверка с помощью мониторинга MAN-cats® сигнала на идентифицируемость.

-         Проверка кабелей.

-         Проверка разъемных соединений.

-         Проверка и при необходимости замена датчика температуры охлаждающей жидкости (B124).

Этапы проверки:

-         Напряжение сигнала: замер напряжения между контактом C14 и контактом

C55.

Заданное значение: от 3,74 до 1,22 В при 20–90 °C на холостом ходу"
168,Сбор данных напряжения аккумулятора,"Стратегия мониторинга: контроль пределов напряжения.

Приоритетность ошибки: 3

Код P бортовой системы самодиагностики: P0560

Влияние неисправности: если напряжение батареи ниже 8 В, отключить блок управления двигателем.

Описание неисправности: напряжение батареи слишком высокое (FMI 1), напряжение батареи слишком низкое (FMI 2), недостоверный сигнал (FMI 3), ошибки сигнала (FMI 8).

Способ устранения:

-         Проверка с помощью мониторинга MAN-cats® сигнала на идентифицируемость.

-         Проверка кабелей.

-         Проверка разъемных соединений.

-         Проверка генератора в соответствии с паспортными данными.

-         Проверка аккумуляторной батареи и при необходимости замена.

Этапы проверки:

-         Электропитание: замер напряжения между контактами A01, A03 и A05 (+), а также контактами A02, A04 и A06 (–).

Заданное значение: 20–28 В"
171,Температура окружающего воздуха,"Стратегия мониторинга: контроль слишком высокой или слишком низкой температуры окружающего воздуха и достоверности скорости изменения температуры.

Приоритетность ошибки: 4

Код P бортовой системы самодиагностики:

Влияние неисправности: выдача эквивалентного значения.

Описание неисправности: слишком высокая температура (FMI 1), слишком низкая температура (FMI 2), недостоверный сигнал (FMI 3).

Способ устранения:

-         Проверка с помощью мониторинга MAN-cats® сигнала на идентифицируемость.

-         Проверка кабелей.

-         Проверка разъемных соединений.

-         Проверка и при необходимости замена датчика температуры окружающего воздуха (B269).

Этапы проверки:

-         См. описание системы T65, список этапов проверки FFR"
