code,description,steps
00168,Неисправность электропитания,"Состояние неисправности: FMI 1

Приоритет 5

Индикация во время движения и остановки автомобиля; только указание на неисправность.

Индикация неисправности:

Центральная сигнальная лампа STOP (H111) горит желтым при неподвижном автомобиле.

Причина неисправности:

Напряжение аккумуляторной батареи слишком высокое (>32 В).

Устранение неисправности:

С помощью ПК проверьте достоверность сигнала, генератор, провода, штекерные соединения, аккумуляторную батарею.

Этапы проверки:

Проведение текущего контроля:

С помощью ПК проверьте достоверность сигналов «Клемма 30» и «Клемма 15» (двигатель работает, заданное значение 24-28 В).

Если эти значения правильные, то измерьте напряжение.

Измерение напряжения:

Напряжение непосредственно на Pin блока управления X1/2, X1/1 (+) и X1/3 (-). Заданное значение 20-28 вольт.

Если измеренные (на разъемах блока управления) значения находятся в номинальном диапазоне и, несмотря на это, активна неисправность, то замените FFR (A403)."
00168,Неисправность электропитания,"Состояние неисправности: FMI 2

Приоритет 5

Индикация во время движения и остановки автомобиля; только указание на неисправность.

Индикация неисправности:

Центральная сигнальная лампа STOP (H111) горит желтым при неподвижном автомобиле.

Причина неисправности:

Напряжение аккумуляторной батареи слишком низкое (<16 В).

Устранение неисправности:

С помощью ПК проверьте достоверность сигнала, генератор, провода, штекерные соединения, аккумуляторную батарею.

Этапы проверки:

Проведение текущего контроля:

С помощью ПК проверьте достоверность сигналов «Клемма 30» и «Клемма 15» (двигатель работает, заданное значение 24-28 В).

Если эти значения правильные, то измерьте напряжение.

Измерение напряжения:

Напряжение непосредственно на Pin блока управления X1/2, X1/1 (+) и X1/3 (-). Заданное значение 20-28 вольт.

Если измеренные (на разъемах блока управления) значения находятся в номинальном диапазоне и, несмотря на это, активна неисправность, то замените FFR (A403)."
01235,Короткое замыкание CAN (BUSOFF),"Отключение шины указывает на неисправность: блок управления не участвует в передаче данных по шине CAN и поэтому не может отправить сообщение о неисправности (DM1). Это обнаруживается и отображается блоком управления сетью. В режиме движения активен контроль состояния BUSOFF (на клемму 15 и клемму 30 подается питание). Чтобы блок управления снова начал передачу данных, требуется выполнить процедуру «bus off recovery sequence».

Состояние неисправности: FMI 7

Приоритет: 1

В сочетании с символом STOP необходимо остановить двигатель.

Индикация неисправности:

Центральная сигнальная лампа (STOP) мигает красным, и контрольные устройства тормоза, ABS и ASR горят.

Сообщение на дисплее: неисправность электрики

Причина неисправности:

Жгут проводов поврежден, неисправен другой ICU, подключенный к шине I-CAN, например ZBR, TCO, INST, LGS или TBM

Короткое замыкание CAN, т. е. контроллер CAN не может отправлять собственные сообщения. Аналогичное последствие может быть вызвано разрывом провода шины CAN, однако в результате этого в регистратор неисправностей записывается код SPN 8101 = «отсутствуют все контролируемые сообщения».

Устранение неисправности

Проверка шины CAN

Этапы контроля:

Выполните измерение X1 Pin 7 и 8 для CAN High и Pin 13 и 14 для CAN Low."
02987,Номер шасси в комбинированном приборе и в тахоспидографе не совпадают,"Состояние неисправности: FMI 3

Приоритет 1

В сочетании с символом STOP необходимо остановить двигатель.

Индикация неисправности:

Центральная сигнальная лампа (STOP) мигает красным, но дополнительная контрольная лампа не отображается.

Причина неисправности:

Номер шасси в комбинированном приборе и в тахоспидографе не совпадают

Устранение неисправности:

Возможен контроль номера шасси в приборе: если число в приборе правильное, то измените число с помощью тестера тахоспидографа в тахоспидографе.

Этапы проверки:

Номер шасси прибора можно считать, выбрав следующий путь меню: Автомобиль – Контрол. данные – Диагностика – Данные автомобиля – Шасси №. Если номер шасси в приборе правильный, то измените число с помощью тестера тахоспидографа в тахоспидографе. Завершение изменения различается в зависимости от марки тестера, используемого при проверке."
08101,"Сбой всех сообщений I-CAN от тахоспидографа и ZBR, но без BUSOFF","BUSOFF указывает на то, что блок управления не передает данные по шине CAN.

Состояние неисправности: FMI 4

Приоритет 1

В сочетании с символом STOP необходимо остановить двигатель.

Индикация неисправности:

Центральная сигнальная лампа (STOP) мигает красным, и контрольные устройства тормоза, ABS и ASR горят.

Сообщение на дисплее: неисправность электрики

Причина неисправности:

Отказ спидографа (TCO) и ZBR.

Устранение неисправности:

Проверьте соединение TCO и ZBR, проверьте кабель. При длительном разрыве провода отображаются коды неисправности SPN 08101, 08103, 08104 и 08105. Неисправность должна всегда быть активной.

Этапы проверки:

Проверьте штекер в комплекте штекеров X1535 (Pin 4 и 5), затем A407 X1/13 и X1/7 и A408 A/8 и A/4."
08103,"Сбой сообщения «TCO1» от тахоспидографа (скорость, водительская карта вставлена, пластина спидометра включена)","TCO1 – это название сообщения, а TCO обозначает спидограф. Сообщение содержит информацию о скорости и сигнальный флажок сбоя.

Состояние неисправности: FMI 4

Приоритет 2

Возможно, неисправность, требующая устранения в сервисном центре! Указание на неисправность

Индикация неисправности:

Центральная сигнальная лампа (STOP) горит красным, но дополнительная контрольная лампа не отображается.

Сообщение на дисплее: неисправность тахоспидографа

Причина неисправности:

Сообщение TCO отсутствует дольше 5 секунд; если сообщение возникает повторно, значит, неисправность пассивна. Примечание. Запрещается заменять прибор

Устранение неисправности:

Проверьте TCO или штекер и провод. При неправильном контакте могут поочередно отображаться различные коды неисправности (08103, 08104 и 08105) в зависимости от времени, прошедшего после отказа.

Этапы проверки:

Проверьте штекер в комплекте штекеров X1535 (Pin 4 и 5), затем A407 X1/13 и X1/7 и A408 A/8 и A/4."
08104,"Сбой сообщения «Vehicle Distance» от тахоспидографа (счетчик дневного пробега, счетчик общего пробега)","Состояние неисправности: FMI 4

Приоритет 2

Возможно, неисправность, требующая устранения в сервисном центре! Указание на неисправность

Индикация неисправности:

Центральная сигнальная лампа (STOP) горит красным, но дополнительная контрольная лампа не отображается.

Сообщение на дисплее: неисправность тахоспидографа

Причина неисправности:

Сообщение от спидографа (TCO) отсутствует дольше 5 секунд; если сообщение возникает повторно, значит, неисправность пассивна. Примечание. Запрещается заменять прибор

Устранение неисправности:

Проверьте TCO или штекер и провод

Этапы проверки:

Проверьте штекер в комплекте штекеров X1535 (Pin 4 и 5), затем A407 X1/13 и X1/7 и A408 A/8 и A/4."
08105,"Сбой сообщения «Время/дата» от тахоспидографа (время, дата)","Состояние неисправности: FMI 4

Приоритет 5

Индикация во время движения и остановки автомобиля; только указание на неисправность.

Индикация неисправности:

Центральная сигнальная лампа (STOP) горит красным, но дополнительная контрольная лампа не отображается.

Сообщение на дисплее: неисправность тахоспидографа

Причина неисправности:

Сообщение от спидографа (TCO) отсутствует дольше 5 секунд; если сообщение возникает повторно, значит, неисправность пассивна. Примечание. Запрещается заменять прибор

Устранение неисправности:

Проверьте TCO или штекер и провод. При неправильном контакте могут поочередно отображаться различные коды неисправности (08103, 08104 и 08105) в зависимости от времени, прошедшего после отказа.

Этапы проверки:

Проверьте штекер в комплекте штекеров X1535 (Pin 4 и 5), затем A407 X1/13 и X1/7 и A408 A/8 и A/4."
08106,Сбой сообщения «ECAM1» от ZBR (давление ресивера всех тормозных контуров),"ECAM1 – это название сообщения и означает Electronically Controlled Air Management 1.

Состояние неисправности: FMI 4

Приоритет 1

В сочетании с символом STOP необходимо остановить двигатель.

Индикация неисправности:

Стрелка манометра давления тормозного воздуха находится в положении стоянки (словно зажигание выключено).

Сообщение на дисплее: неисправность электрики

Причина неисправности:

ZBR (A302) не передает сообщений.

Устранение неисправности:

Проверьте ZBR (A302)"
08107,Сбой сообщения «Дисплей приборной панели» от ZBR (вместимость топливного бака),"Состояние неисправности: FMI 4

Приоритет 5

Индикация во время движения и остановки автомобиля; только указание на неисправность.

Индикация неисправности:

Стрелка топливного манометра находится в положении стоянки (словно зажигание выключено).

Сообщение на дисплее: неисправность электрики

Причина неисправности:

ZBR (A302) не передает сообщений.

Устранение неисправности:

Проверьте ZBR (A302)"
08108,Сбой сообщения «температура двигателя» от EDC (температура охлаждающей жидкости),"Состояние неисправности: FMI 4

Приоритет 2

Возможно, неисправность, требующая устранения в сервисном центре! Указание на неисправность

Индикация неисправности:

Центральная сигнальная лампа (STOP) горит красным, но дополнительная контрольная лампа не отображается.

Сообщение на дисплее: неисправность электрики

Причина неисправности:

Сообщение отсутствует.

Устранение неисправности:

При возникновении других неисправностей SPN, например 8111 или 8112, замените ZBR."
08109,"Сбой сообщения «ETC2» (информация о передачах), для ручной коробки передач от FFR, для автоматической коробки передач от блока управления коробкой передач","ETC2 – это название сообщения и означает Electronic Transmission Control 2. Число 2 определяет содержание (индикация включенной передачи и указатели переключения) сообщения.

Состояние неисправности: FMI 4

Приоритет 5

Индикация во время движения и остановки автомобиля; только указание на неисправность.

Индикация неисправности:

Индикация включенной передачи на дисплее не функционирует.

Сообщение на дисплее: неисправность электрики

Причина неисправности:

Сообщение не поступает от FFR (A403).

Устранение неисправности:

Проверьте FFR (A403)

Этапы проверки:

Просмотрите список этапов проверки электроники FFR4 и сравните значения."
08110,"Сбой сообщения «ETC3» от FFR (передний делитель), только для ручной коробки передач","ETC3 – это название сообщения, а ETC – Electronic Transmission Control. Число 3 определяет содержание (индикация нейтрали, передний и задний делитель) сообщения.

Состояние неисправности: FMI 4

Приоритет 4

На дисплее отсутствует индикация, центральная сигнальная лампа не горит или не мигает, другие контрольные устройства не горят.

Индикация неисправности:

Индикация диапазона/группы делителя и N-индикация (нейтральная передача) не функционирует на дисплее, но не отображается в виде неисправности.

Причина неисправности:

Сообщение не поступает от FFR (A403).

Устранение неисправности:

Проверьте FFR (A403)

Этапы проверки:

Просмотрите список этапов проверки электроники FFR4 и сравните значения."
08111,Сбой сообщения «Условия впуска/выпуска» от EDC (давление наддува),"Состояние неисправности: FMI 4

Приоритет 4

На дисплее отсутствует индикация, центральная сигнальная лампа не горит или не мигает, другие контрольные устройства не горят.

Индикация неисправности:

Если на дисплее не отображается индикация в виде неисправности, однако индикация давления наддува больше не функционирует (нет изображения полосы).

Причина неисправности:

Сообщение от EDC отсутствует.

Устранение неисправности:

Проверьте EDC

Этапы проверки:

Просмотрите список этапов проверки EDC и сравните значения."
08112,Сбой сообщения «EEC1» от EDC (частота вращения),"EEC1 – это название сообщения и означает Electronic Engine Controller 1. Число 1 определяет содержание (частота вращения двигателя) сообщения.

Состояние неисправности: FMI 4

Приоритет 2

Возможно, неисправность, требующая устранения в сервисном центре! Указание на неисправность

Индикация неисправности:

Стрелка тахометра находится в положении стоянки (словно зажигание выключено).

Сообщение на дисплее: неисправность электрики

Причина неисправности:

Сбой сообщения от EDC

Устранение неисправности:

Неисправен блок управления FFR, ZBR или EDC

Этапы проверки:

Просмотрите список этапов проверки электроники FFR4, ZBR и EDC и сравните значения."
08113,Сбой сообщения «Условия окружающей среды» от FFR: (наружная температура): (наружная температура),"Состояние неисправности: FMI 4

Приоритет 4

На дисплее отсутствует индикация, центральная сигнальная лампа не горит или не мигает, другие контрольные устройства не горят.

Индикация неисправности:

Индикация температуры отсутствует, отображается только «°C», но без значения.

Причина неисправности:

Отказ сообщения от FFR (A403)

Устранение неисправности:

Проверьте FFR (A403)

Этапы проверки:

Просмотрите список этапов проверки электроники FFR4 и сравните значения."
