code,description,steps
00038,"Запас, уровень топлива в баке 2.",Приоритет 5: Индикация во время остановки и во время движения автомобиля. Вид неисправности: 1. Слишком высокий; 2. Слишком низкий; 3. Неприемлемый; 5. Замыкание на массу; 6. Замыкание на Uбат.; 10. Обрыв. Разводка контактов А302: R1/14.
00070,"Сигнал ""Стояночный тормоз"".","Приоритет 2: Неисправность, требующая устранения в сервисном центре. Вид неисправности: 8. Неверный сигнал."
00096,"Запас, уровень топлива в баке 1.",Приоритет 5: Индикация во время остановки и во время движения автомобиля. Вид неисправности: 1. Слишком высокий; 2. Слишком низкий; 3. Неприемлемый; 5. Замыкание на массу; 6. Замыкание на Uбат.; 10. Обрыв. Разводка контактов А302: R1/13.
00098,Уровень моторного масла., 
00100,"Сигнал ""Давление масла в двигателе"".","Приоритет 4: Индикация отсутствует, не влияет на пригодность к эксплуатации. Вид неисправности: 8. Неверный сигнал."
00102,"Сигнал ""Давление нагнетаемого воздуха"".","Сигнальная лампа на приборной панели постоянно светится красным цветом и при движении и при остановке. Вместо реального сигнала давления, имитируется подменный сигнал. В двигатель поступает недостаточное количество воздуха, в следствии этого существенно снижается мощность. Неисправен датчик, нарушена проводка, неплотные контакты, промежуточный охладитель (интеркулер) забит или система нагнетаемого воздуха не герметична."
00110,"Сигнал ""Температура охлаждающей жидкости двигателя"".","Приоритет 4: Индикация отсутствует, не влияет на пригодность к эксплуатации. Вид неисправности: 8. Неверный сигнал."
00111,"Сигнал ""Уровень охлаждающей жидкости двигателя"".",Приоритет 5: Индикация во время остановки и во время движения автомобиля. Вид неисправности: 6. Замыкание на Uбат.; 10. Обрыв. Разводка контактов А302: R1/13.
00158,Напряжение питания ZBR2 при включенном зажигании (клемма 15 замка зажигания).,"Приоритет 2: Неисправность, требующая устранения в сервисном центре. Разводка контактов А302: ZE17."
00159,"Запас, уровень, давление газа в баке.","Приоритет 2: Неисправность, требующая устранения в сервисном центре. Вид неисправности: 1. Слишком высокий; 2. Слишком низкий; 5. Замыкание на массу; 6. Замыкание на Uбат. Разводка контактов А302: Х/1."
00168,"Напряжение питания ZBR2, постоянный плюс от аккумуляторов отсутствует (клемма 30-0 Uбат.).",Приоритет 1: Требуется остановка двигателя. Вид неисправности: 1. Слишком высокий; 2. Слишком низкий; 10. Обрыв. Разводка контактов А302: ZE/18.
00171,Температура наружного воздуха., 
00175,Температура масла в двигателе., 
00190,Частота вращения двигателя.,Сигнальная лампа на приборной панели постоянно светится красным цветом и при движении и при остановке. Двигатель невозможно запустить или двигатель самопроизвольно может заглохнуть. Регистрация и сбор данных о сигнале скорости вращения коленчатого и распределительного валов двигателя не функционирует. 
00513,Крутящий момент двигателя., 
00520,"Сигнал ""Ослабление торможения тормозом-замедлителем"".","Приоритет 4: Индикация отсутствует, не влияет на пригодность к эксплуатации. Вид неисправности: 8. Неверный сигнал."
00597,"Сигнал ""Тормоз ABS, ASR, EBS""","Приоритет 2: Неисправность, требующая устранения в сервисном центре. Вид неисправности: 8. Неверный сигнал."
00639,"Шина данных T-CAN Higt, последовательная связь.",Приоритет 1: Требуется остановка двигателя. Вид неисправности: 4. Сигнал отсутствует. Разводка контактов А302: М/1.
00639,"Шина данных T-CAN Low, последовательная связь.",Приоритет 1: Требуется остановка двигателя. Вид неисправности: 4. Сигнал отсутствует. Разводка контактов А302: М/7.
